brand,breadcrumbs,color,express_available,image_url,manufacturer,manufacturer_part_no,material,number_of_gangs,overall_height,overall_width,price,sku,title,type,unit_of_meassurement,unspsc_code,url
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img4.fastenal.com/infp360pmm/derivates/3/001/270/674/0700442.jpg,HUBBELL,5173-0,Steel,1,"4.50""","2.75""",2.21,0700442,Blank Horizontal Single-Gang Cover,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0700442
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,Yes,https://img0.fastenal.com/infp360pmm/derivates/3/001/348/680/0703564.jpg,HUBBELL,5180-0,Steel,1,"2.75""","2.81""",1.11,0703564,Duplex Horizontal Single-Gang Device Cover,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0703564
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,Yes,https://img2.fastenal.com/infp360pmm/derivates/3/001/342/367/0703570.jpg,HUBBELL,5103-0,Steel,1,"4.50""","2.81""",13.70,0703570,GFCI Vertical Mount Single Gang Device Cover,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0703570
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Silver,No,https://img3.fastenal.com/infp360pmm/derivates/3/001/102/023/0745151.jpg,HUBBELL,SS8,Stainless Steel,1,"4.50""","2.87""",4.53,0745151,302/304SS 1Gang Duplex Receptacle Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0745151
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/766/560/$v2/0778968_primary_eng.jpg,HUBBELL,P8W,Nylon,1,"4.63""","2.88""",27.75,0778968,White 1 Duplex Receptacles Nylon Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0778968
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Ivory,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/766/970/$v2/922570388_primary_eng.jpg,HUBBELL,P8I,Polycarbonate,1,"4.63""","2.88""",28.00,922570388,1 Gang Ivory Duplex Receptacle Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570388
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/310/386/0703565.jpg,HUBBELL,5101-0,Steel,1,"2.75""","2.81""",14.96,0703565,GFCI Horizontal Single-Gang Device Cover,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0703565
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Silver,No,https://img4.fastenal.com/infp360pmm/derivates/3/001/143/269/0745097.jpg,HUBBELL,SS26,Stainless Steel,1,"4.50""","2.87""",41.60,0745097,302/304SS Grade 1Gang GFCI Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0745097
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/766/561/$v2/0778935_primary_eng.jpg,HUBBELL,P13W,Nylon,1,"4.63""","2.88""",61.00,0778935,White Box Mount Blank Single Gang Nylon Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0778935
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Silver,No,https://img2.fastenal.com/infp360pmm/derivates/3/001/290/172/0745050.jpg,HUBBELL,SS1,Stainless Steel,1,"4.50""","2.87""",47.30,0745050,302/304SS 1Gang Toggle Switch Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0745050
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Silver,No,https://img4.fastenal.com/infp360pmm/derivates/3/001/122/0703918.jpg,HUBBELL,SS1,Stainless Steel,1,"4.50""","2.75""",27.00,0703918,BRY-Silver Sgl Toggle Switch Wallplate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0703918
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Silver,No,https://img3.fastenal.com/infp360pmm/derivates/3/001/166/178/0703921.jpg,HUBBELL,SS8,Stainless Steel,1,"4.50""","2.75""",26.40,0703921,BRY-Silver Sgl Duplex SS Wallplate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0703921
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,Yes,https://img2.fastenal.com/infp360pmm/derivates/3/001/224/667/0703569.jpg,HUBBELL,5146-0,Steel,1,"4.50""","2.81""",1.57,0703569,Duplex Vertical Mount Single Gang Device Cover,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0703569
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Silver,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/109/831/0745060.jpg,HUBBELL,SS13,Stainless Steel,1,"4.50""","2.87""",56.50,0745060,302/304SS 1-Gang Blank Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0745060
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img2.fastenal.com/infp360pmm/derivates/3/001/766/562/$v2/0778926_primary_eng.jpg,HUBBELL,P1W,Nylon,1,"4.63""","2.88""",33.00,0778926,White 1 Toggle Switch Single Gang Nylon Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0778926
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,Yes,https://img0.fastenal.com/infp360pmm/derivates/3/001/248/680/0703578.jpg,HUBBELL,5197-0,Die Cast Steel,,"0.56""","3.50""",0.11,0703579,"Gray 3-1/2"" Outlet Round Cluster Cover",Wall Plate,each,39121704,https://www.fastenal.com/product/details/0703579
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/147/330/0703575.jpg,HUBBELL,5189-0,Die Cast Steel,,"4.63""","3.50""",0.13,0703575,"Gray 3-1/2"" Outlet Rectangular Cluster Cover",Wall Plate,each,39121704,https://www.fastenal.com/product/details/0703575
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/248/821/0728913.jpg,HUBBELL,808C,Metal,1,"4.00""","0.50""",66.30,0728913,"4"" Square Steel 1 GFCI Exposed Work Cover",Wall Plate,each,39121704,https://www.fastenal.com/product/details/0728913
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Ivory,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/766/871/$v2/922570290_primary_eng.jpg,HUBBELL,P13I,Polycarbonate,1,"4.63""","2.88""",32.75,922570290,Wallplate 1-Gang Box Mount Blank Ivory,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570290
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img4.fastenal.com/infp360pmm/derivates/3/001/194/604/0700709.jpg,HUBBELL,768,Steel,1,"0.63""","4.00""",2.81,0706986,"#768 4"" Square Combination Raised 5/8"" Surface Cover",Wall Plate,each,39121704,https://www.fastenal.com/product/details/0706986
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img4.fastenal.com/infp360pmm/derivates/3/001/766/889/$v2/922570262_primary_eng.jpg,HUBBELL,P26W,Polycarbonate,1,"4.63""","2.88""",26.75,922570262,Wallplate 1-Gang 1) Decorator White,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570262
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/191/701/0728927.jpg,HUBBELL,801C,Metal,,"4.00""","0.50""",60.60,0728927,"4"" Square 1 Receptacle 1.406""Dia. Steel Exposed Work Cover",Wall Plate,each,39121704,https://www.fastenal.com/product/details/0728927
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Silver,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/191/545/0703922.jpg,HUBBELL,SS82,Stainless Steel,2,"4.50""","4.56""",63.20,0703922,BRY-Silver 2 Duplex SS Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0703922
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/767/030/$v2/922570096_primary_eng.jpg,HUBBELL,P82W,Polycarbonate,2,"4.63""","4.69""",65.75,922570096,Wallplate 2-Gang 2) Duplex White,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570096
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Ivory,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/766/911/$v2/922570279_primary_eng.jpg,HUBBELL,P1I,Polycarbonate,1,"4.63""","2.88""",32.50,922570279,Wallplate Toggle 1-Gang Ivory,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570279
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/766/560/$v2/0778968_primary_eng.jpg,HUBBELL,PJ8W,Polycarbonate,1,"4.94""","3.15""",38.25,922570301,1 Gang White Duplex Receptacle Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570301
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/767/085/$v2/922570186_primary_eng.jpg,HUBBELL,P23W,Polycarbonate,2,"4.63""","4.69""",74.25,922570186,Wallplate 2-Gang 2 Box Mount Blank White,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570186
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img2.fastenal.com/infp360pmm/derivates/3/001/310/387/0703568.jpg,HUBBELL,5148-0,Steel,2,"4.50""","4.53""",26.21,0703568,Duplex Multi-Gang Device Cover,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0703568
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img4.fastenal.com/infp360pmm/derivates/3/001/766/889/$v2/922570262_primary_eng.jpg,HUBBELL,PJ26W,Polycarbonate,1,"4.94""","3.15""",28.00,922570131,Wallplate Mid-Size 1-Gang 1) Decorator White,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570131
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/766/925/$v2/922570409_primary_eng.jpg,HUBBELL,P2W,Polycarbonate,2,"4.63""","4.69""",59.25,922570409,2 Gang White Toggle Switch Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570409
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img4.fastenal.com/infp360pmm/derivates/3/001/194/604/0700709.jpg,HUBBELL,8772,Steel,1,"0.50""","4.00""",2.65,0700710,"4.00"" W Gray Steel Wall Plate",Wall Plate,each,39121704,https://www.fastenal.com/product/details/0700710
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Silver,No,https://img3.fastenal.com/infp360pmm/derivates/3/001/143/458/0777614.jpg,HUBBELL,SS82,Stainless Steel,2,"4.50""","4.56""",131.40,0777614,"4.50""Hx4.56""Wx0.035""D Stainless Steel 2Gang Double Duplex Wall Plate",Wall Plate,each,39121704,https://www.fastenal.com/product/details/0777614
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Silver,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/482/0703927.jpg,HUBBELL,SS23,Stainless Steel,2,"4.50""","4.60""",11.71,0745079,2 Gang Silver Blank Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0745079
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/210/241/99403941.jpg,HUBBELL,SS262,Stainless Steel,2,"4.50""","4.69""",13.62,99403941,2 Gang 302/304 Stainless Steel 2-Decorator Standard Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/99403941
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/766/561/$v2/0778935_primary_eng.jpg,HUBBELL,PJ13W,Polycarbonate,1,"4.94""","3.15""",55.75,922570377,Wallplate Mid-Size 1-Gang Box Mount Blank White,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570377
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Ivory,No,https://img2.fastenal.com/infp360pmm/derivates/3/001/766/932/$v2/922570401_primary_eng.jpg,HUBBELL,P23I,Polycarbonate,2,"4.63""","4.69""",131.50,922570401,Wallplate 2-Gang 2 Box Mount Blank Ivory,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570401
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/766/975/$v2/922570381_primary_eng.jpg,HUBBELL,P262W,Polycarbonate,2,"4.63""","4.69""",154.50,922570381,Wallplate 2-Gang 2) Decorator White,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570381
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/341/830/0743900.jpg,HUBBELL,RW51810,Die Cast Zinc,1,"2.82""","4.57""",17.29,0743900,Grey 1Gang Horizontal-Duplex Opening Weatherproof Wall Plate Cover,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0743900
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Ivory,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/766/861/$v2/922570306_primary_eng.jpg,HUBBELL,P26I,Polycarbonate,1,"4.63""","2.88""",65.00,922570306,Wallplate 1-Gang 1) Decorator Ivory,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570306
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Silver,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/166/416/0745131.jpg,HUBBELL,SS7,Stainless Steel,1,"4.50""","2.87""",5.65,0745131,"302/304SS 1Gang 1.40"" Opening Single Receptacle Wall Plate",Wall Plate,each,39121704,https://www.fastenal.com/product/details/0745131
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Ivory,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/766/926/$v2/922570408_primary_eng.jpg,HUBBELL,P82I,Polycarbonate,2,"4.63""","4.69""",59.50,922570408,2 Gang Ivory Duplex Receptacle Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570408
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img4.fastenal.com/infp360pmm/derivates/3/001/348/679/0703553.jpg,HUBBELL,5028-0,Die Cast Aluminum,1,"4.50""","2.75""",603.36,0703553,GFCI RAYNTITE Single-Gang Device Cover,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0703553
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Silver,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/766/585/$v2/0703929_primary_eng.jpg,HUBBELL,SS720,Stainless Steel,1,"4.50""","2.75""",28.00,0703929,BRY-Silver 20/30AMP Pwr Receptacle Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0703929
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img2.fastenal.com/infp360pmm/derivates/3/001/523/0703475.jpg,HUBBELL,8769,Steel,,"0.63""","4.00""",3.77,0700719,"4.00"" W Gray Steel Wall Plate",Wall Plate,each,39121704,https://www.fastenal.com/product/details/0700719
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img3.fastenal.com/infp360pmm/derivates/3/001/223/143/0728835.jpg,HUBBELL,5121-0,Metal,1,"4.61""","2.83""",16.07,0728835,Gray WP Single-Gang SP 125V 10A Vertical Lever Switch Cover,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0728835
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Silver,No,https://img3.fastenal.com/infp360pmm/derivates/3/001/142/898/0703919.jpg,HUBBELL,SS2,Stainless Steel,2,"4.50""","4.56""",123.60,0703919,BRY-Silver 2 Toggle Switch Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0703919
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Silver,No,https://img2.fastenal.com/infp360pmm/derivates/3/001/766/492/$v2/0703923_primary_eng.jpg,HUBBELL,SS7,Stainless Steel,1,"4.50""","2.75""",30.40,0703923,BRY-Silver 15/20AMP Sgl Receptacle Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0703923
RACO,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img4.fastenal.com/infp360pmm/derivates/3/001/293/804/0703562.jpg,HUBBELL,5045-0,Die Cast Aluminum,2,"4.50""","4.50""",1275.36,0703562,GFCI Vertical RAYNTITE 2-Gang Device Cover,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0703562
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Silver,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/143/270/0745138.jpg,HUBBELL,SS723,Stainless Steel,1,"4.50""","2.87""",9.62,0745138,"4.50""Hx2.87""Wx0.035""D Stainless Steel 1Gang Single Wall Plate",Wall Plate,each,39121704,https://www.fastenal.com/product/details/0745138
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Silver,No,https://img3.fastenal.com/infp360pmm/derivates/3/001/125/0745098.jpg,HUBBELL,SS262,Stainless Steel,2,"4.50""","4.56""",6.60,0745098,"4.50""Hx4.56""Wx0.035""D Stainless Steel 2Gang Double Decorator/GFCI Wall Plate",Wall Plate,each,39121704,https://www.fastenal.com/product/details/0745098
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Ivory,No,https://img3.fastenal.com/infp360pmm/derivates/3/001/766/978/$v2/922570378_primary_eng.jpg,HUBBELL,P2I,Polycarbonate,2,"4.63""","4.69""",58.75,922570378,2 Gang Ivory Toggle Switch Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570378
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/231/381/99403707.jpg,HUBBELL,SS14,Stainless Steel,1,"4.50""","2.88""",9.46,99403707,1 Gang 302/304 Stainless Steel 1-Blank Strap Mount Standard Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/99403707
