2026-02-17 21:28:31,854 | INFO | academy_crawler | category links are fetched successfully
2026-02-17 21:28:31,854 | INFO | academy_crawler | starting the crawler.......
2026-02-17 21:28:33,505 | INFO | academy_crawler | wesite returned status 200
2026-02-17 21:28:33,505 | INFO | academy_crawler | currently fetching https://www.academy.com/c/shops/mktg-offers/app-offer-1?page_1
2026-02-17 21:28:35,527 | INFO | academy_crawler | products container fetched total 29 products
2026-02-17 21:28:35,527 | INFO | academy_crawler | {'url': 'https://www.academy.com/p/bcg-mens-coaches-polo-shirt-129381334', 'name': "BCG Men's Coaches' Polo Shirt", 'rating': '4.7'}
2026-02-17 21:28:35,579 | INFO | academy_crawler | pdp details saved successfully
2026-02-17 21:28:35,580 | INFO | academy_crawler | {'url': 'https://www.academy.com/p/magellan-outdoors-mens-casting-crew-core-graphic-long-sleeve-t-shirt', 'name': "Magellan Outdoors Men's Casting Crew Core Graphic Long Sleeve T-shirt", 'rating': '4.9'}
2026-02-17 21:28:35,583 | INFO | academy_crawler | pdp details saved successfully
2026-02-17 21:28:35,583 | INFO | academy_crawler | {'url': 'https://www.academy.com/p/under-armour-mens-new-tech-polo-shirt109260480', 'name': "Under Armour Men's New Tech Polo Shirt", 'rating': '4.8'}
2026-02-17 21:28:35,587 | INFO | academy_crawler | pdp details saved successfully
2026-02-17 21:28:35,587 | INFO | academy_crawler | {'url': 'https://www.academy.com/p/under-armour-mens-rival-fleece-full-zip-hoodie-138205826', 'name': "Under Armour Men's Rival Fleece Full Zip Hoodie", 'rating': '4.8'}
2026-02-17 21:28:35,589 | INFO | academy_crawler | pdp details saved successfully
2026-02-17 21:28:35,590 | INFO | academy_crawler | {'url': 'https://www.academy.com/p/under-armour-mens-sportstyle-left-chest-graphic-t-shirt', 'name': "Under Armour Men's Sportstyle Left Chest Graphic T-shirt", 'rating': '4.5'}
2026-02-17 21:28:35,593 | INFO | academy_crawler | pdp details saved successfully
