unique_id,url,productname,brand,selling_price,regular_price,discount,description,specification,fit_type,image,rating,review,size,colour
159787968,https://www.academy.com/p/bcg-mens-coaches-polo-shirt-129381334,BCG Men's Coaches' Polo Shirt,BCG,12.99,12.99,,"Enjoy a long day on the field with the BCG Men's Coaches' Polo Shirt. This shirt is made from 100% polyester for day-long comfort. It also has moisture wicking technology, providing you with dry comfort.","{'Compression': ' No', 'Clothing Type': ' Casual Shirts,Athletic Shirts', 'Neckline': ' 3-button||Collared||', 'Everyday Value': ' Yes', 'Sleeve length': ' Short Sleeve', 'Material technology': ' Moisture Wicking||UPF Protectant||', 'Activity': ' Lifestyle', 'Material': ' Polyester', 'Heat Retention': ' No', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Moisture Wicking': ' Yes', 'Care': ' Machine wash cold with like colors, use nonchlorine bleach when needed; tumble dry on low, iron on the lowest setting, do not dry clean', 'Product Type': ' Shirts', 'Flame Resistant': ' No', 'Age Group': "" Adults'"", 'Style': ' Polos', 'Features': ' Sun Protection,Moisture Wicking', 'Placket': ' 3-button'}",,"https://academy.scene7.com/is/image/academy/21586847?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21586848?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21553831?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21553832?$pdp-xl-ng$",4.7,400,"Small,X Small,XXX Large,Medium,X Large,X Large Tall,XX Large,XX Large Tall,Large",Mojave Desert
159984144,https://www.academy.com/p/magellan-outdoors-mens-casting-crew-core-graphic-long-sleeve-t-shirt,Magellan Outdoors Men's Casting Crew Core Graphic Long Sleeve T-shirt,Magellan Outdoors,24.99,24.99,,"Enjoy your day in comfort with the Magellan Outdoors Men's Casting Crew Core Graphic Long Sleeve T-shirt. The moisture-wicking design prevents accumulation of sweat and moisture to keep you dry, while the UPF 50 rating protects you from the sun. The polyester construction provides comfort that lasts the whole day, and the graphic design offers an eye-catching appearance.","{'Compression': ' No', 'Clothing Type': ' Casual Shirts,T-Shirts,Athletic Shirts', 'Neckline': ' Crew||', 'Sleeve length': ' Long Sleeve', 'Material technology': ' Moisture Wicking Technology||UPF Protectant||acdRecycledMaterials||Recycled Polyester||', 'Activity': ' Fishing', 'Material': ' Polyester', 'Heat Retention': ' No', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Moisture Wicking': ' Yes', 'Care': ' Machine wash', 'Product Type': ' Shirts', 'Flame Resistant': ' No', 'Age Group': "" Adults'"", 'Style': ' Graphic Tees,Performance Tees', 'Features': ' Sun Protection,Moisture Wicking', 'Placket': ' No'}",,"https://academy.scene7.com/is/image/academy/21535570?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21535580?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21535581?$pdp-xl-ng$",4.9,400,"Small,XXXX Large,XXX Large,Medium,X Large,XX Large,Large",Dark Turquoise 02
158645651,https://www.academy.com/p/under-armour-mens-new-tech-polo-shirt109260480,Under Armour Men's New Tech Polo Shirt,Under Armour,39.99,39.99,,"Looking for comfortable, stylish athletic wear? Throw on the Under Armour Men's New Tech Polo Shirt and get moving! Whether you're working hard to perfect your serve on the tennis court or hitting the links for a relaxing round of golf, this polo keeps you looking fresh and feeling good no matter where your day takes you.","{'Compression': ' No', 'Clothing Type': ' Athletic Shirts', 'Neckline': ' Collar', 'Everyday Value': ' Yes', 'Sleeve length': ' Short Sleeve', 'Activity': ' Golf', 'Material': ' Polyester', 'Heat Retention': ' No', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Moisture Wicking': ' No', 'Care': ' Machine Wash', 'Product Type': ' Shirts', 'Flame Resistant': ' No', 'Age Group': "" Adults'"", 'Style': ' Polos', 'Hood': ' No', 'Placket': ' Button'}",,"https://academy.scene7.com/is/image/academy/21464010?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21464011?$pdp-xl-ng$",4.8,400,"Small,Small Tall,X Small,XXXX Large,Medium,XXX Large,X Large,XX Large,Large",Rack Green
157506131,https://www.academy.com/p/under-armour-mens-rival-fleece-full-zip-hoodie-138205826,Under Armour Men's Rival Fleece Full Zip Hoodie,Under Armour,19.98,65.0,69,"Stay warm and ready for anything when wearing the Under Armour Men's Rival Fleece Full Zip Hoodie. Cotton blend fleece feels light and soft for day-long comfort, while the ribbed cuffs and hem enhance your fit for easy layering.","{'Clothing Type': ' Fleece', 'Neckline': ' Hood', 'Sleeve length': ' Long Sleeve', 'Activity': ' Casual', 'Material': ' 80% Cotton, 20% Polyester Fleece', 'Heat Retention': ' Yes', 'Gender': "" Men's"", 'Zipper': ' Full Zip', 'Size Range': "" Men's"", 'Moisture Wicking': ' No', 'Care': ' Machine wash cold with like colors, do not use fabric softener, do not bleach; tumble dry low, do not iron, do not dry clean', 'Product Type': ' Sweatshirts', 'Age Group': "" Adults'"", 'Style': ' Full Zip Hoodies', 'Hood': ' Yes', 'Placket': ' Zippered'}",,"https://academy.scene7.com/is/image/academy/21557027?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21557028?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21557029?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21557025?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21557026?$pdp-xl-ng$",4.8,146,"Small,Medium,X Large,XX Large,Large",Green
161040599,https://www.academy.com/p/under-armour-mens-sportstyle-left-chest-graphic-t-shirt,Under Armour Men's Sportstyle Left Chest Graphic T-shirt,Under Armour,,,,"Designed for softness and comfort, the Under Armour Men's Sportstyle Left Chest Graphic T-shirt is a great option for everyday wear. This T-shirt is made of a cotton blend with short sleeves and displays an Under Armourâ„¢ graphic on the left chest for a touch of athletic style.","{'Compression': ' No', 'Clothing Type': ' Casual Shirts,T-Shirts', 'Neckline': ' Crew Neck', 'Sleeve length': ' Short Sleeve', 'Activity': ' Casual', 'Material': ' 60% Cotton, 40% Polyester', 'Heat Retention': ' No', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Moisture Wicking': ' No', 'Care': ' Machine wash cold with like colors, do not use bleach or fabric softeners, tumble dry low or hang dry, do not use dryer sheets, do not iron', 'Product Type': ' Shirts', 'Flame Resistant': ' No', 'Age Group': "" Adults'"", 'Style': ' Graphic Tees', 'Hood': ' No'}",,"https://academy.scene7.com/is/image/academy/21564960?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21564961?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21564962?$pdp-xl-ng$",4.5,400,"Large Tall,Small,X Small,XXXX Large Tall,XXXX Large,Medium,X Large Tall,X Large,XXX Large,XX Large,XXX Large Tall,XXXXX Large,XX Large Tall,Large",Posh Pink
155598107,https://www.academy.com/p/bcg-mens-knit-tech-short,BCG Men's Knit Tech Shorts 7 in,BCG,19.99,19.99,,"Kick back and relax with the BCG Men's Knit Tech Shorts 7 in. The polyester and spandex material provides a comfortable feel, while the moisture wicking technology helps keep you cool and dry. The elastic waistband and drawstring combo offers a custom fit.","{'Compression': ' No', 'Clothing Type': ' Athletic Shorts,Loungewear', 'Ventilated': ' No', 'Shorts Length': ' Medium', 'Material technology': ' Moisture Wicking', 'Inseam (in.)': ' 7-in. inseam', 'Activity': ' Training', 'Material': ' Polyester, Spandex', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Moisture Wicking': ' Yes', 'Water Resistant': ' No', 'Product Type': ' Shorts', 'Flame Resistant': ' No', 'Age Group': "" Adults'"", 'Style': ' Short', 'Lining': ' No', 'Features': ' Moisture Wicking'}",,"https://academy.scene7.com/is/image/academy/21597664?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21425837?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21425838?$pdp-xl-ng$",4.9,109,"Small,Medium,X Large,XX Large,Large",Deep Water
161043175,https://www.academy.com/p/carhartt-mens-force-relaxed-fit-midweight-short-sleeve-pocket-t-shirt-,Carhartt Men's Force Relaxed Fit Midweight Pocket T-shirt,Carhartt,27.99,27.99,,"Work in comfort in the Carhartt Men's Force Relaxed Fit Midweight Pocket T-shirt. The moisture-wicking fabric helps repel sweat and keep you cool, while the side panels offer increased ventilation and comfort.","{'Compression': ' No', 'Clothing Type': ' T-Shirts,Work Shirts', 'Neckline': ' Crew Neck', 'Everyday Value': ' Yes', 'Sleeve length': ' Short Sleeve', 'Material technology': ' FastDryÂ®, ForceÂ®', 'Activity': ' Work', 'Material': ' 65% Cotton, 35% Polyester', 'Heat Retention': ' No', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Moisture Wicking': ' Yes', 'Care': ' Machine wash warm like colors, use nonchlorine bleach only; tumble dry low, do not use fabric softeners, cool iron, do not dry clean', 'Product Type': ' Shirts', 'Flame Resistant': ' No', 'Age Group': "" Adults'"", 'Style': ' Performance Tees,Solid Tees', 'Placket': ' No'}",,"https://academy.scene7.com/is/image/academy/21604389?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21604390?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21604391?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21604392?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21604393?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21604394?$pdp-xl-ng$",4.2,400,"Large Tall,Small,XXXX Large,X Large Tall,Medium,X Large,XXX Large Tall,XX Large,XXX Large,XX Large Tall,Large",Dark Grey 01
159794244,https://www.academy.com/p/bcg-mens-run-shorts-7-in,BCG Men's Run Shorts 7 in,BCG,19.99,19.99,,"Go for a run in the BCG Men's Run Shorts 7 in. The polyester and spandex material provides a comfortable feel, while the moisture-wicking technology helps keep you cool and dry. The reflective design promotes visibility.","{'Compression': ' No', 'Clothing Type': ' Athletic Shorts,Outdoor Shorts', 'Ventilated': ' No', 'Shorts Length': ' Medium', 'Material technology': ' Adjustable||Moisture Wicking||Reflective Technology||', 'Inseam (in.)': ' 7-in. inseam', 'Activity': ' Running', 'Material': ' 88% Polyester, 12% Spandex', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Moisture Wicking': ' Yes', 'Water Resistant': ' No', 'Product Type': ' Shorts', 'Flame Resistant': ' No', 'Age Group': "" Adults'"", 'Style': ' Short', 'Lining': ' No'}",,"https://academy.scene7.com/is/image/academy/21553855?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21553872?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21553820?$pdp-xl-ng$",4.6,75,"Small,Medium,X Large,XX Large,Large",Baltic Sea
158555647,https://www.academy.com/p/row-mens-bentley-hoodie,ROW Men's Bentley Hoodie,ROW,11.48,39.99,71,"The ROW Men's Bentley Hoodie combines elevated comfort with a clean, modern design that’s perfect for everyday wear. Crafted with soft, durable fabric, this hoodie delivers reliable warmth while maintaining a lightweight, easygoing feel. With its versatile fit and premium details, it transitions seamlessly from the gym to casual outings.","{'Origin': ' Imported', 'Clothing Type': ' Hoodies', 'Neckline': ' Crew Neck', 'Sleeve length': ' Long Sleeve', 'Activity': ' Casual', 'Material': ' Cotton', 'Heat Retention': ' No', 'Gender': "" Men's"", 'Zipper': ' No Zipper', 'Size Range': "" Men's"", 'Moisture Wicking': ' No', 'Care': ' Machine Wash', 'Product Type': ' Outerwear', 'Age Group': "" Adults'"", 'Style': ' Pullover Hoodies', 'Hood': ' Yes'}",,"https://academy.scene7.com/is/image/academy/21538124?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21538125?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21538127?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21538126?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21538130?$pdp-xl-ng$",4.0,9,"Small,Medium,XXX Large,X Large,XX Large,Large",Black
161042404,https://www.academy.com/p/under-armour-mens-ua-tech-graphic-training-short,Under Armour Men's UA Tech Graphic Training Short,Under Armour,,,,"Stay dry during your workouts with the Under Armour Men's UA Tech Graphic Training Short. Made with UA Tech™ fabric, this short has a natural, ultrasoft feel and wicks sweat away to keep you comfortable. Small items can be stored in the mesh hand pockets, while the encased elastic waistband with an internal drawstring allows for a secure, yet personalized, fit.","{'Compression': ' No', 'Clothing Type': ' Athletic Shorts', 'Everyday Value': ' Yes', 'Ventilated': ' Yes', 'Shorts Length': ' Medium', 'Material technology': ' UA Tech', 'Inseam (in.)': ' 10', 'Activity': ' Training', 'Material': ' UA Tech fabric', 'Gender': "" Men's"", 'Size Range': "" Men's"", 'Moisture Wicking': ' Yes', 'Water Resistant': ' No', 'Product Type': ' Shorts', 'Flame Resistant': ' No', 'Age Group': "" Adults'"", 'Style': ' Athletic Shorts,Gym Shorts', 'Lining': ' No', 'Features': ' Moisture Wicking'}",,"https://academy.scene7.com/is/image/academy/21585711?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21585712?$pdp-xl-ng$,https://academy.scene7.com/is/image/academy/21585713?$pdp-xl-ng$",4.8,400,"Small,XXXX Large Tall,XXXX Large,Medium,X Large,XX Large,Large",Dark Blue 02
