unique_id,url,name,price,image_url,status,developer,unit_types,district,description
3169,https://find.reelly.io/projects/3169,Radisson Residences,,https://reelly-backend.s3.amazonaws.com/projects/3169/images/6694b5928cdd49faa6064f59710f578e.webp,under_construction,Royal Development Company,"Apartments, Townhouse",Abu Dhabi,"Project general facts  Radisson Residences is an iconic waterfront residential destination on Al Reem Island, Abu Dhabi, where contemporary architecture meets the calm rhythm of nature. The project is composed of three elegant towers connected by a shared waterfront podium, creating a unified social address that balances privacy with community living. Floor-to-ceiling windows frame sweeping views of mangroves and water, while the architectural language reflects timeless refinement, serenity, and effortless sophistication.  The residences offer a diverse selection of studios, apartments, townhouses, and expansive family homes designed to adapt to different lifestyles. Interiors are conceived as calm, naturally inspired sanctuaries, where soft tones, tactile materials, and thoughtful detailing create an atmosphere of understated luxury. Each home is designed to feel balanced and intuitive, supported by Radisson s signature hospitality approach that allows residents to enjoy privacy while having access to curated services and exclusive owner privileges.  A comprehensive collection of amenities enhances everyday living with intention and ease. Residents can enjoy a sunlit swimming pool overlooking the mangroves, landscaped courtyards, wellness and yoga spaces, a state-of-the-art fitness centre, padel court, and children s play areas. Waterfront retail, caf s, dining venues, BBQ areas, community lounges, and event spaces enrich the social fabric of the development, while access to boardwalks, nature trails, and paddle routes completes a lifestyle rooted in balance, wellbeing, and refined coastal living.        Location description and benefits  Al Reem Island is a rapidly developing mixed-use district located northeast of Abu Dhabi, approximately 1,970 feet from the emirate s mainland. It is situated near Saadiyat Island and Al Maryah Island, forming a vibrant cluster of urban development.  The majority of residential complexes are positioned close to the sea and beaches, offering residents a resort-like lifestyle with easy access to the full range of city amenities. Al Reem Island boasts a comprehensive social and recreational infrastructure, including banks, commercial centers, lush parks, and sports facilities, making it a lively and convenient place to live.  As one of Abu Dhabi s first freehold zones, Al Reem Island attracted significant investment in real estate development. The architecture is predominantly modern, with the exception of a select villa community that reflects classic Moroccan and Spanish design styles."
3237,https://find.reelly.io/projects/3237,Sera Gardens,594000,https://reelly-backend.s3.amazonaws.com/projects/3237/images/3571dcbed94049878faf5fad9fc19c5e.webp,under_construction,Vision Developments,"Apartments, Duplex",Dubai Production City,"Project general facts  Sera Gardens by Vision Developments is a contemporary residential building located in Dubai Production City, designed to offer modern urban living with a focus on comfort and functionality. The project features a 8 floors structure with a clean architectural expression and efficient layouts, housing a thoughtfully planned collection of residential apartments. Positioned to enjoy direct views toward Jumeirah Golf Estates, Sera Gardens benefits from an open outlook while remaining well connected to surrounding lifestyle destinations and major road networks.  The project includes a curated selection of lifestyle amenities located across the podium and rooftop levels, designed to enhance everyday living. Residents have access to a swimming pool, gym, lounge areas, kids  play zones, BBQ areas, a cinema, and a dedicated gaming area. These shared spaces are intended to support relaxation, social interaction, and family-friendly living within a secure and well-organized residential environment.  Interiors at Sera Gardens are designed with practicality and contemporary living in mind. The apartments are delivered without furniture and feature high-quality finishes with modern materials, offering a neutral and adaptable interior palette. Functional layouts, comfortable living spaces, and durable finishes allow residents to personalize their homes while benefiting from a move-in-ready specification aligned with the project s modern residential concept.        Location description and benefits  Dubai Production City, formerly known as International Media Production Zone  IMPZ , is a vibrant and specialized community located in Dubai. It is designed to cater to the needs of the media production industry, offering a range of services, facilities, and infrastructure to support the production of print, publishing, and media content.  Dubai Production City is strategically positioned to serve as a hub for media production and related activities. The community features state-of-the-art production studios, soundstages, and post-production facilities, providing a comprehensive ecosystem for the media industry. It is home to numerous media companies, publishing houses, and creative professionals who contribute to the development of diverse content.  The community of Dubai Production City is designed to foster creativity, collaboration, and innovation. It offers a range of amenities and services to support the needs of media professionals, including commercial spaces, offices, and retail outlets. The community also hosts events, workshops, and networking opportunities that encourage knowledge sharing, skill development, and industry growth."
3238,https://find.reelly.io/projects/3238,Orvessa Residences,1280000,https://reelly-backend.s3.amazonaws.com/projects/3238/images/3499e41f92d34091aefa3d429260ed3e.webp,under_construction,BNW Developments,Apartments,Al Furjan,"Project general facts  Orvessa Residences is a refined residential development by BNW Developments, located in the well-established community of Al Furjan. The project is defined by contemporary architecture with elegant wave-inspired balconies, lush greenery, and a balanced podium-and-rooftop composition that creates a strong visual identity. Designed to blend tranquility with urban energy, Orvessa offers a boutique residential experience that combines thoughtful design, comfort, and a sophisticated lifestyle setting within one of Dubai s most family-oriented districts.  The project features a curated collection of lifestyle and wellness amenities designed to support everyday living and relaxation. Residents have access to indoor and outdoor gyms, a swimming pool, meditation areas, steam and sauna facilities, indoor and outdoor kids  play areas, a game room, BBQ spaces, and a quiet reading corner. These amenities are carefully integrated to promote wellbeing, social interaction, and a sense of community while maintaining a calm residential atmosphere.  Interiors at Orvessa Residences are crafted with a focus on quality, functionality, and modern comfort. The apartments are delivered without furniture and feature high-quality finishes with modern materials, reflecting the project s emphasis on refined living. Spacious layouts, contemporary detailing, and well-planned living areas allow residents to personalize their homes while enjoying a premium, move-in-ready residential environment.        Location description and benefits  Al Furjan is a residential community situated in close proximity to Dubai Marina, Jumeirah Beach Residence  JBR , and other popular areas in Dubai. It covers an area of approximately 560 hectares and consists of both villas and apartment buildings, offering a diverse range of housing options for residents.  The community is known for its well-planned infrastructure and thoughtfully designed properties. It features a mix of architectural styles, including Arabic, Mediterranean, and contemporary designs, creating a visually appealing and diverse atmosphere.  In terms of amenities, Al Furjan offers a range of facilities to enhance the quality of life for its residents. These include landscaped parks, playgrounds, fitness centers, swimming pools, sports courts, and cycling and jogging tracks. There are also retail centers within the community that provide convenient access to shopping, dining, and other essential services."
3236,https://find.reelly.io/projects/3236,Crystal Tower by VHS,671999,https://reelly-backend.s3.amazonaws.com/projects/3236/images/1c822ba21eb24959a2126fbc4295a7d7.webp,under_construction,VHS Developments,Apartments,Dubai International City,"Project general facts  Crystal Tower by VHS is a contemporary residential tower located in the heart of Dubai International City, designed to offer practical urban living with a modern architectural identity. The project features a clean, functional fa ade and well-planned layouts that maximize space efficiency and natural light. Positioned within an established and highly accessible district, Crystal Tower benefits from proximity to major road networks and everyday urban infrastructure, making it a convenient address for both residents and investors.  The project offers a range of lifestyle-oriented amenities designed to support comfort and everyday convenience. Residents can enjoy shared recreational and social spaces that enhance community living, along with facilities that cater to relaxation and wellness. The development is thoughtfully planned to meet the needs of modern city dwellers, balancing affordability with essential lifestyle features within a compact residential environment.  Interiors at Crystal Tower by VHS are designed with functionality and modern living in mind. The apartments are delivered without furniture and feature high-quality finishes with modern materials, providing a neutral and versatile interior palette. Practical layouts, contemporary detailing, and durable finishes allow residents to personalize their homes while benefiting from a well-executed, move-in-ready residential product.        Location description and benefits  Dubai International City is a well-established residential district strategically located between Sheikh Mohammed Bin Zayed Road and Al Awir Road, offering excellent connectivity to key parts of Dubai. Its central positioning provides convenient access to Downtown Dubai, Dubai International Airport, Academic City, and major business hubs, making it an attractive choice for residents who value accessibility without the premium pricing of core city locations.  The area is known for its self-sustained urban structure, combining residential clusters with a wide range of retail, dining, and everyday service offerings. Dragon Mart, one of Dubai s largest retail and trading destinations, forms a major commercial anchor for the district, complemented by supermarkets, clinics, schools, fitness centers, and community facilities. This strong commercial and retail presence supports a practical, walkable lifestyle where daily needs are easily met.  Dubai International City is particularly appealing for end users and investors seeking affordability, rental demand, and long-term value. The district attracts a diverse, international population, supported by consistent demand from professionals and families working in nearby employment zones. With ongoing infrastructure improvements and steady population growth, Dubai International City continues to position itself as a resilient and accessible residential hub within Dubai s urban landscape."
3001,https://find.reelly.io/projects/3001,Stamn Mia Tower,,https://reelly-backend.s3.amazonaws.com/projects/3001/images/d6286ac1b5434ce892ff9cf24c206dfc.webp,under_construction,STAMN Real Estate Development,Apartments,Bukadra,"Project general facts  Stamn Mia Tower by STAMN Real Estate Development stands as an architectural icon in the heart of Meydan City, offering a refined selection of 1, 2, and 3 bedroom apartments. Each residence is designed with elegant layouts, high-quality finishes, and large windows that fill the interiors with natural light. The project perfectly combines modern style with everyday comfort, creating a home that feels both luxurious and welcoming.  Residents of Stamn Mia Tower will enjoy a wide range of lifestyle amenities that bring leisure and wellness together. From the refreshing swimming pool and fully equipped gym to the relaxing yoga studio and family-friendly kids  play areas, every detail encourages a balanced lifestyle. The development also features a private cinema, club lounge, BBQ area, and juice bar, offering spaces for both relaxation and social connection.  Set in the sought-after community of Meydan City, Stamn Mia Tower provides excellent access to Dubai s finest destinations while maintaining a peaceful and exclusive ambiance. The project s design, amenities, and location together embody sophistication and convenience. It is a place where residents can experience the best of city living, surrounded by comfort, elegance, and a true sense of home.        Finishing and materials  Modern finishing with high-quality materials.        Kitchen and appliances  Equipped kitchens.        Furnishing  Yes.        Location description and benefits  Meydan City is an extraordinary community situated in the heart of Dubai, known for its blend of luxury, sophistication, and world-class amenities. Spanning over a vast area, Meydan City offers a unique living experience that combines urban convenience with a tranquil and scenic environment.  One of the standout features of Meydan City is its iconic Meydan Racecourse, which hosts renowned horse racing events, including the prestigious Dubai World Cup. The racecourse creates an aura of excitement and elegance, attracting enthusiasts from around the world. Residents of Meydan City have the privilege of witnessing the thrilling races firsthand and immersing themselves in the vibrant atmosphere that surrounds this prestigious venue.  Green spaces are integral to the design of Meydan City, with expansive parks, landscaped gardens, and tree-lined boulevards adorning the community. Residents can enjoy leisurely walks, bike rides, or picnics in these serene surroundings, offering a refreshing escape from the bustling city life. The abundance of open spaces also provides opportunities for outdoor activities and social gatherings, fostering a sense of community and well-being."
3011,https://find.reelly.io/projects/3011,Vista Verde,,https://reelly-backend.s3.amazonaws.com/projects/3011/images/41d9dc0f2c56447d8a8d7eebf26c5be2.webp,under_construction,Fakhruddin Properties Development,,Dubai Production City,"Project general facts  Vista Verde is a modern residential masterpiece offering studio, 1 and 2 bedroom apartments designed to embody the perfect harmony between sophistication and serenity. Its contemporary architecture stands out with clean lines, elegant tones, and expansive glass elements that create a refined yet welcoming presence. Nestled within Dubai Production City, this stunning development combines style with sustainability, offering residents an inspiring environment that feels both luxurious and refreshing.   The project redefines lifestyle through its exceptional range of amenities, curated to promote wellness, leisure, and connection. Residents can enjoy an infinity sky pool with breathtaking panoramic views, a cutting-edge gym, and beautifully landscaped green areas that invite relaxation and peace. Social moments come alive at the BBQ zone and outdoor cinema, creating a community-centered atmosphere full of warmth and joy. Each feature enhances the sense of balance between contemporary comfort and natural tranquility, ensuring a living experience that feels both exclusive and fulfilling.  Beyond its design and amenities, Vista Verde reflects the forward-thinking vision of Fakhruddin Properties Development - where sustainability, wellness, and innovation blend effortlessly. Lush landscaping, sunlit terraces, and eco-conscious architecture invite residents to live in harmony with nature, while the project s location in Dubai Production City ensures convenience and connectivity to key destinations.        Finishing and materials  Modern finishing with high-quality materials.        Kitchen and appliances  Equipped kitchens.        Furnishing  Semi-furnished apartments.        Location description and benefits  Dubai Production City is a vibrant community designed to foster creativity and innovation, primarily catering to the media, production, and publishing industries. Strategically located near key highways, it offers excellent connectivity to Dubai s major hubs, including the Dubai Marina and Al Maktoum International Airport. The area is characterized by its modern infrastructure, tailored to meet the needs of businesses, while also offering a dynamic environment for professionals and residents alike.  Beyond its business focus, Dubai Production City provides a balanced lifestyle with a range of amenities. Residential complexes within the district feature contemporary designs and cater to a diverse community. With parks, retail outlets, cafes, and fitness centers, the area promotes a lifestyle of convenience and leisure. Educational institutions and healthcare facilities within close reach further enhance its appeal as a well-rounded community.  Dubai Production City also emphasizes sustainability and green living, integrating eco-friendly practices into its design. Lush landscapes and open spaces are thoughtfully incorporated, providing a refreshing environment for residents and visitors. Whether you re a business professional seeking a dynamic workspace or a family looking for a vibrant neighborhood, Dubai Production City offers a unique blend of innovation, comfort, and connectivity."
2757,https://find.reelly.io/projects/2757,MAAK Residence,562950,https://api.reelly.io/vault/ZZLvFZFt/NLdp2kVQdM8NOWXzHOGZ01qDWYk/zMxpig../1.jpeg,under_construction,Maakdream Properties,Apartments,Dubai South,"Project general facts  Discover a vibrant urban lifestyle at MAAK Residence, an exceptional project nestled in the heart of Dubai South, where the future touches the sky. The development offers a superb selection of studio, 1- and 2-bedroom apartments, each thoughtfully designed to capture natural light and maximize space for modern living. From sunlit views across the horizon to stylish interiors, every unit promises an elevated residential experience.  Step inside MAAK Residence and find yourself embraced by an array of outstanding amenities that transform daily life into a luxurious journey. Residents can unwind in a stunning rooftop pool surrounded by breathtaking skyline views, offering a perfect escape within the city. Every detail, from smart layouts to serene communal spaces, is curated to bring ease and joy to everyday living.  The project stands as a beacon of next-generation living, blending sleek architecture with panoramic cityscapes that define Dubai s dynamic spirit. Each apartment is crafted in space, in light, and in endless possibilities. MAAK Residence reimagines what urban living can be, offering residents a place where dreams seamlessly transform into reality.        Finishing and materials  Modern finishing with high-quality materials and Smart Home System.        Kitchen and appliances  Equipped kitchens.        Furnishing  No.        Location description and benefits  Dubai South - is a dynamic and strategically planned district located in the southern part of Dubai. It serves as a major hub for economic, commercial, and logistical activities, designed with a vision to support the growth of various industries. One of its standout features is its proximity to the Al Maktoum International Airport, the world s largest airport in terms of cargo volume, making it a key player in the global logistics and aviation sectors.  In addition to its logistical prowess, Dubai South is home to the Dubai Expo 2020 site, which served as a testament to the district s capacity to host large-scale global events. The Expo site has now transitioned into a legacy district, offering a wide range of amenities and infrastructure, including residential communities, educational institutions, and recreational facilities. Dubai South s commitment to sustainability is evident in its green initiatives, with a focus on eco-friendly urban planning and energy-efficient buildings.  Dubai South continues to grow as a thriving business and residential hub, attracting both international and local investors. Its strategic location, state-of-the-art infrastructure, and diverse range of opportunities make it a compelling destination for businesses and individuals alike, contributing to the ongoing development and economic diversification of Dubai."
3244,https://find.reelly.io/projects/3244,Serenz,852000,https://reelly-backend.s3.amazonaws.com/projects/3244/images/b1a1f30c41734fd08b1e26d89b19bc2c.webp,under_construction,Danube,Apartments,JVC (Jumeirah Village Circle),"Project general facts  Serenz by Danube is a striking 50-storey residential development located in the heart of Jumeirah Village Circle, Dubai. Conceptualized as  A World of Amenities , the project sets a new benchmark for modern urban living by seamlessly blending luxury, comfort, and functionality within a vibrant community setting. Serenz by Danube represents a new standard of residential living in JVC where thoughtful design, world-class amenities, and prime connectivity come together to create a truly elevated lifestyle.  Designed with contemporary architecture and refined interiors, Serenz offers fully furnished premium residences that reflect modern minimalism with elegant finishes and fluid living spaces. The grand double-height entrance and thoughtfully crafted layouts create a welcoming atmosphere that elevates everyday living.  A key highlight of Serenz is its expansive 120,000 sq. ft. of curated lifestyle amenities, featuring over 40 indoor and outdoor facilities. Residents can enjoy resort-style experiences including a serenity pool, aqua park, landscaped gardens, fitness zones, sports courts, spa facilities, children s play and daycare areas, business centre, and social spaces designed for relaxation, wellness, and community interaction.        Location description and benefits  Nestled in the heart of Dubai, Jumeirah Village Circle, or JVC, is a vibrant and rapidly growing community that captivates residents and visitors alike. This idyllic circular-shaped neighborhood is designed to offer a harmonious blend of modern living and natural beauty.  JVC s tree-lined streets, tranquil parks, and spacious villas and apartments make it a truly unique and welcoming place to call home. The community exudes a sense of peace and balance, providing a welcome escape from the hustle and bustle of city life, while still being conveniently located within Dubai.  Residents of JVC enjoy a host of amenities, including schools, shopping centers, parks, and recreational facilities, all thoughtfully integrated into the community s design. It s a place where families thrive, professionals find a convenient home, and nature lovers revel in the serene surroundings"
3269,https://find.reelly.io/projects/3269,Radisson Blu Hotel & Residences,1124074,https://reelly-backend.s3.amazonaws.com/projects/3269/images/a741cf43e14049ea845597a99a54feb7.webp,under_construction,BNW Developments,Apartments,Rak Central,"Project general facts  Radisson Blu Hotel   Residences by BNW Developments is a landmark hospitality-led destination designed to redefine serviced living with global standards and contemporary elegance. The project is thoughtfully divided into a Residential Tower offering studio, 1, 2 and 3 bedroom apartments, and a Hotel Tower featuring studio and 1 bedroom apartments, creating a perfect balance between private living and hotel-style comfort. Inspired by the legacy of Radisson Blu, it delivers a dynamic environment where design, service, and lifestyle come together seamlessly.  The amenities are carefully curated to enhance everyday living and create a complete resort-style experience. Residents and guests enjoy a rooftop pool with bar, spa and sauna, fully equipped gymnasium, swimming pool, outdoor cinema, BBQ areas, and dedicated kids  club and play areas, ensuring comfort for every member of the family. Every detail supports flexibility, relaxation, and social connection within a vibrant hospitality setting.  All residences are fully furnished, reflecting refined taste and modern functionality in every element. The kitchens are elegantly designed and fully equipped, while premium materials and sophisticated finishes elevate the interiors with warmth and contemporary style. From flooring to fittings, each space is completed with attention to detail, offering a move-in-ready home defined by comfort, quality, and effortless luxury.        Location description and benefits  RAK Central is emerging as one of the key urban districts of Ras Al Khaimah, designed as a modern mixed-use hub that brings together residential, commercial, and leisure spaces in one connected destination. Strategically located with easy access to major roads and the wider emirate, the area is planned to function as a focal point for business and contemporary living. Wide boulevards, planned infrastructure, and proximity to important civic and commercial landmarks make RAK Central an attractive address for both residents and investors.  The district is envisioned with a strong emphasis on lifestyle and convenience. Future residents can expect a setting that integrates apartment living with nearby offices, retail, caf s, and everyday services, reducing the need for long commutes. Green pockets, walkable streets, and thoughtfully arranged plots help create a more human-scale environment compared to traditional city centers, supporting a comfortable daily rhythm for professionals, families, and long-term residents.  As Ras Al Khaimah continues to grow as a tourism and investment destination, RAK Central is expected to play a central role in the emirate s new urban narrative. Its blend of modern planning, strategic location, and growing development pipeline positions the area as a natural choice for next-generation projects. For those seeking a balance of accessibility, urban energy, and long-term potential, RAK Central stands out as one of the most promising districts in Ras Al Khaimah."
3221,https://find.reelly.io/projects/3221,Binghatti Luxuria,765999,https://reelly-backend.s3.amazonaws.com/projects/3221/images/e249454d3d744b44948653e5e333368d.webp,under_construction,Binghatti,Apartments,JVT (Jumeirah Village Triangle),"Project general facts  Binghatti Luxuria is a refined residential development located in Jumeirah Village Triangle  JVT , designed as a calm architectural retreat within one of Dubai s most established communities. The project reflects Binghatti s signature approach to modern urban living, combining a strong architectural identity with a focus on privacy, balance, and spatial clarity. Its sculptural tower form is thoughtfully positioned to maximize natural light and open views, creating a serene residential environment while remaining closely connected to key destinations across the city.  The development offers a curated collection of residences complemented by resort-style amenities designed to support wellness and everyday comfort. Residents benefit from a carefully planned lifestyle setting that includes swimming pools for adults and children, landscaped leisure zones, fitness and wellness facilities, shaded communal areas, and dedicated spaces for relaxation and social interaction, all integrated into a cohesive and tranquil living experience.  Interiors are defined by a restrained, elegant material palette featuring natural stone, marble finishes, warm wood textures, bronze-accented metal details, glass elements, and bespoke wall coverings. Kitchens are designed with stone countertops and contemporary cabinetry, complemented by integrated appliances where applicable. Residences are delivered with refined interior finishes and semi-furnished layouts, allowing for both immediate comfort and personal customization, while maintaining a consistent standard of craftsmanship throughout the project.        Location description and benefits  Jumeirah Village Triangle  JVT  is a well-planned residential district in Dubai that seamlessly blends tranquility with convenience. The neighborhood features a mix of villas, townhouses, and apartments surrounded by lush landscaping and parks. The circular layout of JVT ensures easy navigation, while the ample green spaces provide a peaceful retreat for residents seeking a serene lifestyle away from the city s hustle and bustle.  JVT offers a wide array of amenities, catering to both families and individuals. The community includes schools, supermarkets, healthcare facilities, and fitness centers, ensuring that all daily needs are met within a short distance. Its numerous parks, jogging tracks, and cycling paths encourage an active lifestyle, while the vibrant community center and retail outlets provide spaces for shopping and socializing. Conveniently located near major highways like Sheikh Mohammed Bin Zayed Road and Al Khail Road, JVT offers excellent connectivity to Dubai s key destinations, including Dubai Marina, JBR, and Downtown Dubai.  Designed with a focus on blending modern architecture with natural surroundings, JVT features thoughtfully planned infrastructure, emphasizing sustainability and livability. Water features and landscaped gardens add to the charm of this tranquil community, making it an ideal choice for those looking to enjoy modern conveniences in a peaceful, green setting. Whether you re looking for a family-oriented community or a relaxing space to call home, JVT offers the perfect balance of lifestyle and location."
