unique_id,competitor_name,store_name,store_addressline1,store_addressline2,store_suburb,store_state,store_postcode,store_addressid,extraction_date,product_name,brand,brand_type,grammage_quantity,grammage_unit,drained_weight,producthierarchy_level1,producthierarchy_level2,producthierarchy_level3,producthierarchy_level4,producthierarchy_level5,producthierarchy_level6,producthierarchy_level7,regular_price,selling_price,price_was,promotion_price,promotion_valid_from,promotion_valid_upto,promotion_type,percentage_discount,promotion_description,package_sizeof_sellingprice,per_unit_sizedescription,price_valid_from,price_per_unit,multi_buy_item_count,multi_buy_items_price_total,currency,breadcrumb,pdp_url,variants,product_description,instructions,storage_instructions,preparationinstructions,instructionforuse,country_of_origin,allergens,age_of_the_product,age_recommendations,flavour,nutritions,nutritional_information,vitamins,labelling,grade,region,packaging,receipies,processed_food,barcode,frozen,chilled,organictype,cooking_part,Handmade,max_heating_temperature,special_information,label_information,dimensions,special_nutrition_purpose,feeding_recommendation,warranty,color,model_number,material,usp,dosage_recommendation,tasting_note,food_preservation,size,rating,review,file_name_1,image_url_1,file_name_2,image_url_2,file_name_3,image_url_3,file_name_4,image_url_4,file_name_5,image_url_5,file_name_6,image_url_6,competitor_product_key,fit_guide,occasion,material_composition,style,care_instructions,heel_type,heel_height,upc,features,dietary_lifestyle,manufacturer_address,importer_address,distributor_address,vinification_details,recycling_information,return_address,alchol_by_volume,beer_deg,netcontent,netweight,site_shown_uom,ingredients,random_weight_flag,instock,promo_limit,product_unique_key,multibuy_items_pricesingle,perfect_match,servings_per_pack,Warning,suitable_for,standard_drinks,environmental,grape_variety,retail_limit
252171,bigbasket,,,,,,,,2026-02-27,"Cothas Coffee Speciality Blend Filter Coffee Powder, 200 g Pouch",Cothas Coffee,,200,g,,Home,beverages,coffee,ground coffee,,,,210.00,195.50,210,,,,,,,,,,,,,INR,Home > beverages > coffee > ground coffee,https://www.bigbasket.com/pd/252171/cothas-coffee-coffee-powder-speciality-blend-of-coffee-chicory-powder-200-g-pouch/,,"The most reliable day-starter of the South. Our best-selling product for home consumption, with an optimally aromatic sound-bodied blend, marked by a chocolatey note. Great with traditional steel filters and electric coffee makers. 85% coffee, 15% chicory.",,,,,India,,,,,,Nutrition_per: 100g Energy (Kcal): 429 kcal Protein (g): 12.9 g Carbohydrate (g): 69.5 g Total Sugars (g): 10.4 g Total Fat (g): 11.5 g Saturated Fat (g): 4.7 g Polyunsaturated Fat (g): 5.5 g Monounsaturated Fat (g): 1.0 g Trans Fat (g): 0 g Cholesterol (mg): 0 mg Vitamin C (mg): 39.6 mg Calcium (mg): 104.1 mg Iron (mg): 4.3 mg Sodium (mg): 72.5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,231,,https://www.bbassets.com/media/uploads/p/l/252171_9-cothas-coffee-coffee-powder-speciality-blend-of-coffee-chicory-powder.jpg,,https://www.bbassets.com/media/uploads/p/l/252171-2_6-cothas-coffee-coffee-powder-speciality-blend-of-coffee-chicory-powder.jpg,,https://www.bbassets.com/media/uploads/p/l/252171-3_5-cothas-coffee-coffee-powder-speciality-blend-of-coffee-chicory-powder.jpg,,https://www.bbassets.com/media/uploads/p/l/252171-4_5-cothas-coffee-coffee-powder-speciality-blend-of-coffee-chicory-powder.jpg,,https://www.bbassets.com/media/uploads/p/l/252171-5_5-cothas-coffee-coffee-powder-speciality-blend-of-coffee-chicory-powder.jpg,,,8906002771028,,,,,,,,,,,"Cothas Coffee Co., 609-560/1, 609-560/2 & 323 Part B, Jigani Bommasandra Link Road, Jigani Ind. Area, , Anekal Taluk, Bengaluru, Karnataka 562105",,,,,,,,,,200 g,,,True,,252171P,,,,,,,,,
266579,bigbasket,,,,,,,,2026-02-27,"BRU Instant Coffee Power, 200 g Pouch",BRU,,200,g,,Home,beverages,coffee,instant coffee,,,,440.00,440.00,,,,,,,,,,,,,,INR,Home > beverages > coffee > instant coffee,https://www.bigbasket.com/pd/266579/bru-instant-coffee-200-g-pouch/,,"Bru Instant Coffee was launched in 1968 and was India's first coffee-chicory mix instant coffee. It is the perfect mix of 70% coffee and 30% chicory and is made from a fine blend of the choicest plantation and Robusta beans. These coffee beans are first roasted to perfection. The new and enhanced process ensures that the fresh coffee aroma is preserved, so that you get a rich coffee taste beyond compare. Bru Instant coffee can be used to make an aromatic cup of hot coffee as well as a refreshing glass of cold coffee. With Bru Instant, you can now discover a great coffee experience with your loved ones. About Bru: A part of Hindustan Unilever Ltd., Bru Coffee is India's largest and favourite coffee brand that offers a wide variety of coffee products. Since 1968, Bru has been a pioneer in bringing the authentic taste of coffee to Indian consumers. The best coffee beans are selected from across innumerable coffee trails and are freshly roasted to serve a great cup of rich, irresistible coffee. Bru has four distinct offerings - Bru Instant and Bru Gold in Instant coffee, Bru Green Label and Bru Select in Filter coffee. Bru-ed with love and blended with passion, Bru Coffee celebrates authenticity in coffee and relationships.",,,,,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,,https://www.bbassets.com/media/uploads/p/l/266579_29-bru-instant-coffee.jpg,,https://www.bbassets.com/media/uploads/p/l/266579-_2-bru-instant-coffee.jpg,,https://www.bbassets.com/media/uploads/p/l/266579-2_19-bru-instant-coffee.jpg,,https://www.bbassets.com/media/uploads/p/l/266579-3_19-bru-instant-coffee.jpg,,https://www.bbassets.com/media/uploads/p/l/266579-4_17-bru-instant-coffee.jpg,,https://www.bbassets.com/media/uploads/p/l/266579-5_8-bru-instant-coffee.jpg,8909106013865,,,,,,,,,,,"(A) Abishek Enterprises, 93/2a, Aruppukottai Road, Virudhunagar, Tamil Nadu, 626 001. Fssai Lic. No. 10012042000637. (R) Rohini Packer, No. 19/3, 9th Mile, Basapura Village, Hosur Road, Electronic City Post, Bangalore Urban, Karnataka - 560 100. (H) Hindustan Unilever Limited, Plot No. 50 & 51, Sipcot Industrial Area, Hosur, Dist. - Krishnagiri (Tamil Nadu), 635 126. Fssai Lic. No. 10012042000164. (M) Mysore Beverages, Plot No. 424, Hebbal Industrial Area, Mysore (Karnataka), 570 016. Fssai Lic. No. 10012043000168.",,,,,,,,,,200 g,,,True,,266579P,,,,,,,,,
40154924,bigbasket,,,,,,,,2026-02-27,"Nescafe Gold Blend Instant Coffee Powder, 200 g ",Nescafe Gold,,200,g,,Home,gourmet & world food,drinks & beverages,,,,,1290.00,1090.00,1290,,,,,16,,,,,,,,INR,Home > gourmet & world food > drinks & beverages,https://www.bigbasket.com/pd/40154924/nescafe-gold-blend-instant-coffee-powder-festive-edition-rich-smooth-200-g-jar/,,"NESCAFÉ brings you expertly roasted coffee at its finest. Enjoy an exquisitely crafted cup designed to make every coffee moment special. Made with the highest quality Arabica and Robusta beans, NESCAFÉ Gold delivers a rich, well-rounded taste that delights even the most discerning coffee connoisseurs. This unique blend offers an enriching experience for all occasions, whether it’s your morning ritual or a mid-day pause. Freeze-dried to preserve flavour and aroma, every spoonful offers a luxurious taste and lingering fragrance. Savour the aroma and taste the difference with every cup of coffee.",,,,"Usage: Prepare with boiling milk or water. Add sugar to taste. Storage: Store the product in a cool, dry and hygienic place. To ensure lasting freshness, close the lid tightly after every use. Always use a dry spoon.",South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,124,,https://www.bbassets.com/media/uploads/p/l/40154924_17-nescafe-gold-blend-instant-coffee-powder-festive-edition-rich-smooth.jpg,,https://www.bbassets.com/media/uploads/p/l/40154924-2_17-nescafe-gold-blend-instant-coffee-powder-festive-edition-rich-smooth.jpg,,https://www.bbassets.com/media/uploads/p/l/40154924-3_17-nescafe-gold-blend-instant-coffee-powder-festive-edition-rich-smooth.jpg,,https://www.bbassets.com/media/uploads/p/l/40154924-4_17-nescafe-gold-blend-instant-coffee-powder-festive-edition-rich-smooth.jpg,,https://www.bbassets.com/media/uploads/p/l/40154924-5_16-nescafe-gold-blend-instant-coffee-powder-festive-edition-rich-smooth.jpg,,https://www.bbassets.com/media/uploads/p/l/40154924-6_16-nescafe-gold-blend-instant-coffee-powder-festive-edition-rich-smooth.jpg,8801055724611,,,,,,,,,NESCAFÉ Gold – The best in every cup Imported freeze-dried coffee made with the finest blend of Arabica & Robusta beans Expertly blended to make every coffee moment special Savour the rich aroma. Taste the difference,,"Lotte-Nestle (Korea) Co. Ltd. 21 Baekbong-ro 72beon-gil Heungdeok-gu, Cheongju-City, Chungcheongbuk-do, 28445, South Korea. Imported &",,,,,,,,,,200 g,,,True,,40154924P,,,,,,,,,
186077,bigbasket,,,,,,,,2026-02-27,"Cothas Coffee Coffee Powder Premium Special - Hotel Blend, 500 g Pouch",Cothas Coffee,,500,g,,Home,beverages,coffee,ground coffee,,,,450.00,450.00,,,,,,,,,,,,,,INR,Home > beverages > coffee > ground coffee,https://www.bigbasket.com/pd/186077/cothas-coffee-coffee-powder-premium-special-500-g-pouch/,,Cothas Coffee offers you the finest of both worlds; the rich taste and aroma of traditional filter coffee along with the confidence and quality of a truly world-class product. Mountainous regions in Karnataka like Kodagu and Chikmangaluru have always boasted of slopes teeming with exceptional coffee beans. Cothas partners with select growers from these areas to ensure that only the finest beans are procured.,,,,Mix with hot or cold milk. Add needed sugar to taste.,India,,,,,,Per 100 g Energy: 391 kcal Protein: 12.4 g Carbohydrate: 69.4 g Total Fat: 9.0 g Saturated Fat: 3.7 g Trans Fat: TRACES Cholesterol: NIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,https://www.bbassets.com/media/uploads/p/l/186077_3-cothas-coffee-coffee-powder-premium-special.jpg,,https://www.bbassets.com/media/uploads/p/l/186077-2_3-cothas-coffee-coffee-powder-premium-special.jpg,,https://www.bbassets.com/media/uploads/p/l/186077-3_3-cothas-coffee-coffee-powder-premium-special.jpg,,https://www.bbassets.com/media/uploads/p/l/186077-4_3-cothas-coffee-coffee-powder-premium-special.jpg,,https://www.bbassets.com/media/uploads/p/l/186077-5_1-cothas-coffee-coffee-powder-premium-special.jpg,,,186077,,,,,,,,,,,"Cothas Coffee Co., 609-560/1, 609-560/2 & 323 Part B, Jigani Bommasandra Link Road, Jigani Ind. Area, Anekal Taluk, Bengaluru, Karnataka 562105",,,,,,,,,,500 g,,,True,,186077P,,,,,,,,,
40161602,bigbasket,,,,,,,,2026-02-27,"Continental Xtra South Blend Instant Coffee Powder, 50 g Pouch",Continental,,50,g,,Home,beverages,coffee,instant coffee,,,,160.00,80.00,160,,,,,50,,,,,,,,INR,Home > beverages > coffee > instant coffee,https://www.bigbasket.com/pd/40161602/continental-xtra-coffee-pouch-50-g/,,"Continental Xtra Coffee provides an authentic richness and freshness. A meticulous blend of 70% coffee and 30% chicory creates magic for the senses, owing to its aroma, flavour, and richness, giving you the much-needed boost to take on any daily challenge. Now savour the rich and long-lasting taste with this strong cup of coffee. This smooth coffee mix is an excellent way to kick-start the day. It is easy to make without any hassle.",,,,,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,88,,https://www.bbassets.com/media/uploads/p/l/40161602_9-continental-xtra-coffee-pouch.jpg,,https://www.bbassets.com/media/uploads/p/l/40161602-2_9-continental-xtra-coffee-pouch.jpg,,https://www.bbassets.com/media/uploads/p/l/40161602-3_9-continental-xtra-coffee-pouch.jpg,,https://www.bbassets.com/media/uploads/p/l/40161602-4_9-continental-xtra-coffee-pouch.jpg,,https://www.bbassets.com/media/uploads/p/l/40161602-5_3-continental-xtra-coffee-pouch.jpg,,https://www.bbassets.com/media/uploads/p/l/40161602-6_3-continental-xtra-coffee-pouch.jpg,40161602,,,,,,,,,,,"CCL Products (India) Ltd. Duggirala Mandal, Guntur District - 522330, A.P., India",,,,,,,,,,50 g,,,True,,40161602P,,,,,,,,,
241695,bigbasket,,,,,,,,2026-02-27,"Nescafe  Sunrise Instant Coffee Powder - Chicory Mix, 190 g Pouch",Nescafe ,,190,g,,Home,beverages,coffee,instant coffee,,,,620.00,410.00,620,,,,,34,,,,,,,,INR,Home > beverages > coffee > instant coffee,https://www.bigbasket.com/pd/241695/nescafe-sunrise-rich-aroma-instant-coffee-chicory-mix-200-g-pouch/,,"Start your day bright with the New Strong Taste Of Nescafe Sunrise! It all begins with handpicked beans from the coffee farms of South India. These coffee beans are Slow Roasted to develop the perfect aroma, which is retained using our world class expertise and captured in Rich Aroma Granules.",,,,,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,48,,https://www.bbassets.com/media/uploads/p/l/241695_18-nescafe-sunrise-rich-aroma-instant-coffee-chicory-mix.jpg,,https://www.bbassets.com/media/uploads/p/l/241695-2_12-nescafe-sunrise-rich-aroma-instant-coffee-chicory-mix.jpg,,https://www.bbassets.com/media/uploads/p/l/241695-3_11-nescafe-sunrise-rich-aroma-instant-coffee-chicory-mix.jpg,,https://www.bbassets.com/media/uploads/p/l/241695-4_12-nescafe-sunrise-rich-aroma-instant-coffee-chicory-mix.jpg,,https://www.bbassets.com/media/uploads/p/l/241695-5_11-nescafe-sunrise-rich-aroma-instant-coffee-chicory-mix.jpg,,https://www.bbassets.com/media/uploads/p/l/241695-6_3-nescafe-sunrise-rich-aroma-instant-coffee-chicory-mix.jpg,8901058015935,,,,,,,,,"Instant Coffee Powder: Enjoy Great Aroma and Taste in every Cup with Nescafe Sunrise Coffee-Chicory Mix: This instant coffee-chicory mixture is a blend of 60% coffee & 40% chicory that provides an irresistible experience Handpicked From The Best Farms: Made with handpicked beans from coffee farms in South India, Nescafe Sunrise offers an exquisite blend of Arabica and Robusta coffee beans New Strong Taste: Delight your senses every morning with new strong taste of Nescafe Sunrise Coffee",,"Nestle India Ltd. KIADB Industrial Area, Nanjangud, Mysore (Kanalaka)-57131",,,,,,,,,,190 g,,,True,,241695P,,,,,,,,,
262799,bigbasket,,,,,,,,2026-02-27,"BRU Filter Coffee - Green Label, 500 g ",BRU,,500,g,,Home,beverages,coffee,ground coffee,,,,205.00,205.00,,,,,,,,,,,,,,INR,Home > beverages > coffee > ground coffee,https://www.bigbasket.com/pd/262799/bru-filter-coffee-green-label-500-g/,,"Loved by consumers since 1962, Bru Green Label Coffee is India's first packaged filter coffee with a perfect mix of 53% coffee and 47% chicory. Its lightly roasted ground coffee beans give out a perfect decoction for a rich & smooth flavourful cup that helps rejuvenate your senses. The nitro flush packaging retains its fresh flavour and aroma, providing rich tasteful notes. Kick-start your day with a cup of fresh and aromatic Bru Green Label Coffee. So, filter a cup, unwind, and relax as you enjoy the coffee breaks you deserve. Buy Bru Green Label Coffee now right here. About Bru: A part of Hindustan Unilever Ltd, Bru Coffee is India's largest and favourite coffee brand that offers a wide variety of coffee products. Since 1968, Bru has been a pioneer in bringing the authentic taste of coffee to Indian consumers. The best coffee beans are selected from across innumerable coffee trails and freshly roasted to serve a great cup of rich irresistible coffee. Bru has four distinct offerings - Bru Instant and Bru Gold in Instant coffee, Bru Green Label and Bru Select in Filter coffee. Bru-ed with love and blended with passion, Bru Coffee celebrates authenticity in coffee and relationships.",,"Transfer contents into an airtight container and store in a cool, dry, and hygienic place.",,Take 2 tsp of Bru Green Label Coffee in a filter Add 50 ml of hot water into the filter Wait 15 mins for decoction Mix with hot milk and sugar to taste,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,220,,https://www.bbassets.com/media/uploads/p/l/262799_24-bru-filter-coffee-green-label.jpg,,https://www.bbassets.com/media/uploads/p/l/262799-2_8-bru-filter-coffee-green-label.jpg,,https://www.bbassets.com/media/uploads/p/l/262799-3_9-bru-filter-coffee-green-label.jpg,,https://www.bbassets.com/media/uploads/p/l/262799-4_7-bru-filter-coffee-green-label.jpg,,https://www.bbassets.com/media/uploads/p/l/262799-5_7-bru-filter-coffee-green-label.jpg,,https://www.bbassets.com/media/uploads/p/l/262799-6_1-bru-filter-coffee-green-label.jpg,8901030609091,,,,,,,,,,,"Hindustan Unilever Limited, Unilever House, B D Sawant Marg, Chakala, Anderi E, Mumbai - 400099",,,,,,,,,,500 g,,,True,,262799P,,,,,,,,,
40279035,bigbasket,,,,,,,,2026-02-27,"Tata Coffee Classic Instant Coffee, Chicory Mix With Strong Taste & Rich Aroma, 200 g Pouch",Tata Coffee,,200,g,,Home,beverages,coffee,instant coffee,,,,658.00,401.38,658,,,,,39,,,,,,,,INR,Home > beverages > coffee > instant coffee,https://www.bigbasket.com/pd/40279035/tata-coffee-grand-classic-instant-coffee-strong-taste-rich-aroma-200-g-pouch/,,"The story of the experience and legacy of Tata Coffees lush coffee estates high up in the mountains of southern India, where the biodiversity is preserved and enhanced. The high-quality Arabica and Robusta beans are cultivated, picked, pulped, and dried with the utmost precision and care by our experts. Decades of experience in producing high-quality coffee using technologies and techniques perfected by Tata Coffees in-house lab ensure consistency of taste and aroma. Tata Coffee Grand leverages the deep heritage of Tata in coffee and has created a product that is a first-of-its-kind innovative offering in the Indian market. The product is a blend of the finest coffee powder & flavour-locked decoction crystals which gives consumers a best-in-class taste experience in the instant coffee category. Tata Coffee Grand is an intensely rich, fresh, and aromatic coffee.",,,,,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,27,,https://www.bbassets.com/media/uploads/p/l/40279035_4-tata-coffee-grand-classic-instant-coffee-strong-taste-rich-aroma.jpg,,https://www.bbassets.com/media/uploads/p/l/40279035-2_3-tata-coffee-grand-classic-instant-coffee-strong-taste-rich-aroma.jpg,,https://www.bbassets.com/media/uploads/p/l/40279035-3_3-tata-coffee-grand-classic-instant-coffee-strong-taste-rich-aroma.jpg,,https://www.bbassets.com/media/uploads/p/l/40279035-4_3-tata-coffee-grand-classic-instant-coffee-strong-taste-rich-aroma.jpg,,https://www.bbassets.com/media/uploads/p/l/40279035-5_2-tata-coffee-grand-classic-instant-coffee-strong-taste-rich-aroma.jpg,,https://www.bbassets.com/media/uploads/p/l/40279035-6_2-tata-coffee-grand-classic-instant-coffee-strong-taste-rich-aroma.jpg,40279035,,,,,,,,,,,"Tata Coffee Limited, Instant Coffee Division, SF No. 905, Vaigai Dam, Periyakulam Road, Jayamangalam - 625603, Periyakulam Taluk, Theni District, Tamil Nadu. Lic. No. 10012042000158",,,,,,,,,,200 g,,,True,,40279035P,,,,,,,,,
118572,bigbasket,,,,,,,,2026-02-27,"Nescafe  Sunrise Instant Coffee Powder - Extra Strong, 1 kg Pouch",Nescafe ,,1,kg,,Home,beverages,coffee,instant coffee,,,,1246.00,1246.00,,,,,,,,,,,,,,INR,Home > beverages > coffee > instant coffee,https://www.bigbasket.com/pd/118572/nescafe-sunrise-extra-sachet-1-kg-pouch/,,"Awaken your senses every morning with the magical taste of Nescafe Sunrise Extra. It is a fine blend of coffee and chicory, which is expertly granulated to capture the rich aroma inside every coffee granule to give you a captivating coffee experience. Handpicked Arabica and Robusta beans are expertly roasted and granulated to give you a richer taste and an experience that will leave you asking for more. This instant Coffee-chicory-based beverage mix contains 60% Coffee and 40% Chicory mix. To make a refreshing cup of Nescafe Sunrise Coffee simply add half a teaspoon of the coffee granules in a cup; add water, milk and sugar to your taste; Blend well in order to stir up the froth; and enjoy a delicious cup of Nescafe Sunrise!",,,,,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,3,,https://www.bbassets.com/media/uploads/p/l/118572_3-nescafe-sunrise-extra-sachet.jpg,,https://www.bbassets.com/media/uploads/p/l/118572-2_1-nescafe-sunrise-extra-sachet.jpg,,https://www.bbassets.com/media/uploads/p/l/118572-3_1-nescafe-sunrise-extra-sachet.jpg,,https://www.bbassets.com/media/uploads/p/l/118572-4_1-nescafe-sunrise-extra-sachet.jpg,,https://www.bbassets.com/media/uploads/p/l/118572-5_1-nescafe-sunrise-extra-sachet.jpg,,,118572,,,,,,,,,"A twist to your favourite Nescafe Sunrise, made with pure natural coffee Nescafe Sunrise Extra is a unique instant coffee and chicory mixture It has an exquisite rich aroma and strong coffee taste Premium choice for those who like their coffee special, every day",,,,,,,,,,,,1 kg,Coffee beans & Chicory Nutrition Information (per 100g of powder) Energy (kcal) 324 Protein (g) 11.0 Carbohydrate (g) 70.0 Sugar (Sucrose) (g) 0.6 Fat (g) 0.0,,True,,118572P,,,,,,,,,
40107789,bigbasket,,,,,,,,2026-02-27,"Nescafe  Classic Instant Coffee Powder, 180 g ",Nescafe ,,180,g,,Home,beverages,coffee,instant coffee,,,,610.00,465.00,610,,,,,24,,,,,,,,INR,Home > beverages > coffee > instant coffee,https://www.bigbasket.com/pd/40107789/nescafe-classic-100-pure-instant-coffee-200-g-dawn-jar/,,"Enjoy the rich aroma of NESCAFE with every sip! Made from carefully selected coffee beans, it offers pure coffee for a quality coffee experience that helps you awaken your senses. Savour the rich aroma and bold taste of NESCAFE that inspires you to make a difference in your world.",,,,,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,10,,https://www.bbassets.com/media/uploads/p/l/40107789_11-nescafe-classic-100-pure-instant-coffee.jpg,,https://www.bbassets.com/media/uploads/p/l/40107789-2_3-nescafe-classic-100-pure-instant-coffee.jpg,,https://www.bbassets.com/media/uploads/p/l/40107789-3_3-nescafe-classic-100-pure-instant-coffee.jpg,,https://www.bbassets.com/media/uploads/p/l/40107789-4_3-nescafe-classic-100-pure-instant-coffee.jpg,,https://www.bbassets.com/media/uploads/p/l/40107789-5_3-nescafe-classic-100-pure-instant-coffee.jpg,,https://www.bbassets.com/media/uploads/p/l/40107789-6_3-nescafe-classic-100-pure-instant-coffee.jpg,89080351,,,,,,,,,"Pure Coffee: Made from select coffee beans, every cup offers pure coffee Expertly Roasted: Split-roasted to perfection for a rich and bold flavour Delight in Every Cup: Experience the rich aroma and bold taste in every sip The NESCAFÉ Classic Experience: Coffee that fuels inspiration and empowers you to make a difference in your world Discover a NESCAFÉ that's truly yours!",,"Nestle India Ltd., KIADB Industrial Area, Nanjangud, Mysore, (Karnataka) - 571 302",,,,,,,,,,180 g,,,True,,40107789P,,,,,,,,,
