unique_id|competitor_name|store_name|store_addressline1|store_addressline2|store_suburb|store_state|store_postcode|store_addressid|extraction_date|product_name|brand|brand_type|grammage_quantity|grammage_unit|drained_weight|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|producthierarchy_level6|producthierarchy_level7|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|package_sizeof_sellingprice|per_unit_sizedescription|price_valid_from|price_per_unit|multi_buy_item_count|multi_buy_items_price_total|currency|breadcrumb|pdp_url|variants|product_description|instructions|storage_instructions|preparationinstructions|instructionforuse|country_of_origin|allergens|age_of_the_product|age_recommendations|flavour|nutritions|nutritional_information|vitamins|labelling|grade|region|packaging|receipies|processed_food|barcode|frozen|chilled|organictype|cooking_part|handmade|max_heating_temperature|special_information|label_information|dimensions|special_nutrition_purpose|feeding_recommendation|warranty|color|model_number|material|usp|dosage_recommendation|tasting_note|food_preservation|size|rating|review|file_name_1|image_url_1|file_name_2|image_url_2|file_name_3|image_url_3|file_name_4|image_url_4|file_name_5|image_url_5|file_name_6|image_url_6|competitor_product_key|fit_guide|occasion|material_composition|style|care_instructions|heel_type|heel_height|upc|features|dietary_lifestyle|manufacturer_address|importer_address|distributor_address|vinification_details|recycling_information|return_address|alchol_by_volume|beer_deg|netcontent|netweight|site_shown_uom|ingredients|random_weight_flag|instock|promo_limit|product_unique_key|multibuy_items_pricesingle|perfect_match|servings_per_pack|warning|suitable_for|standard_drinks|environmental|grape_variety|retail_limit
01505667|correfour||||||||2026-03-24|Orange Lemonade 6 x 500 ml|Fanta||6 x 500|ml||Home|Dranken|Softdrinks|Limonades|Orange Lemonade 6 x 500 ml|||7.09|7.09|||||||||||2.36|||EUR|Home > Dranken > Softdrinks > Limonades > Orange Lemonade 6 x 500 ml|https://www.carrefour.be/nl/orange-lemonade-6-x-500-ml/01505667.html||Fanta Orange blijft voor liefhebbers wereldwijd een van de meest geliefde limonades. Deze bruisende frisdrank met sinaasappelsap (uit sapconcentraat) lest zo verrukkelijk je dorst. Een uniek recept met natuurlijke aroma's. Je proeft de pure fun!||Ten minste houdbaar tot: zie hals/doppen.Koel, droog, geurvrij en uit het zonlicht bewaren.|||||||||{'Energie': {'Per: 100ml': '203kJ /', 'Per: 250ml (% *)': '508kJ /'}, 'Energie:2': {'Per: 100ml': '48kcal', 'Per: 250ml (% *)': '120kcal (6%)'}, 'Vetten': {'Per: 100ml': '0g', 'Per: 250ml (% *)': '0g (0%)'}, 'waarvan verzadigde vetzuren': {'Per: 100ml': '0g', 'Per: 250ml (% *)': '0g (0%)'}, 'Koolhydraten': {'Per: 100ml': '11.7g', 'Per: 250ml (% *)': '29g (11%)'}, 'waarvan suikers': {'Per: 100ml': '11.7g', 'Per: 250ml (% *)': '29g (33%)'}, 'Eiwitten': {'Per: 100ml': '0g', 'Per: 250ml (% *)': '0g (0%)'}, 'Zout': {'Per: 100ml': '0g', 'Per: 250ml (% *)': '0g (0%)'}, '500ml = 2 x 250ml glas': {'Per: 100ml': '-', 'Per: 250ml (% *)': '-'}}|||||||||||||||||||||||||||Omgevingstemperatuur|||||https://cdn.carrefour.eu/420_01505667_05449000028570_H1L1_en_MPM.webp||https://cdn.carrefour.eu/420_01505667_05449000028570_C1L1_en_MPM.webp||https://cdn.carrefour.eu/420_01505667_05449000028570_C1N1_en_MPM.webp||||||||||||||||||Coca-Cola European Partners Belgium BVBA - PB 400B-1070 Brussel.||||||||||Orange Lemonade 6 x 500 ml|rankelend water,suiker,sinaasappelsap uit sapconcentraat (6%),voedingszuren: citroenzuur, natriumcitraat,conserveermiddel: kaliumsorbaat,natuurlijke sinaasappelaroma's met andere natuurlijke aroma's,antioxidant: ascorbinezuur,wortelconcentraat,stabilisator: guarpitmeel||True||01505667P|||||||||
01030678|correfour||||||||2026-03-24|Lemonade Blik 6 x 330 ml|Sprite||6 x 330|ml||Home|Dranken|Softdrinks|Limonades|Lemonade Blik 6 x 330 ml|||5.65|5.65|||||||||||2.85|||EUR|Home > Dranken > Softdrinks > Limonades > Lemonade Blik 6 x 330 ml|https://www.carrefour.be/nl/lemonade-blik-6-x-330-ml/01030678.html||Sprite Lemon Lime is wereldwijd een van de meest favoriete frisdranken. Bruisend fris, met natuurlijke aroma's van citroen en limoen. Drink hem ijskoud, want zo verfrist hij het best.||Ten minste houdbaar tot: zie bodem blikken. Koel, droog en geurvrij bewaren.|||België||||||{'Energie': {'Per: 100ml': '118kJ', 'Per: 330ml (%*)': '389kJ'}, 'Energie:2': {'Per: 100ml': '28kcal', 'Per: 330ml (%*)': '92kcal (5%)'}, 'Vetten': {'Per: 100ml': '0g', 'Per: 330ml (%*)': '0g (0%)'}, 'waarvan verzadigde vetzuren': {'Per: 100ml': '0g', 'Per: 330ml (%*)': '0g (0%)'}, 'Koolhydraten': {'Per: 100ml': '6.6g', 'Per: 330ml (%*)': '22g (8%)'}, 'waarvan suikers': {'Per: 100ml': '6.6g', 'Per: 330ml (%*)': '22g (24%)'}, 'Eiwitten': {'Per: 100ml': '0g', 'Per: 330ml (%*)': '0g (0%)'}, 'Zout': {'Per: 100ml': '0g', 'Per: 330ml (%*)': '0g (0%)'}}|||||||||||||||||||||||||||Omgevingstemperatuur|||||https://cdn.carrefour.eu/420_01030678_05449000225757_H1L1_en_MPM.webp||https://cdn.carrefour.eu/420_01030678_05449000225757_C1L1_en_MPM.webp||https://cdn.carrefour.eu/420_01030678_05449000225757_C1N1_en_MPM.webp||||||||||||||||||Coca-Cola European Partners Belgium BVBAPB 400 B-1070 Brussel.||||||||||Lemonade Blik 6 x 330 ml|rankelend water,suiker,voedingszuren: citroenzuur, appelzuur,zuurteregelaar: natriumgluconaat,natuurlijke citroen-limoen aroma's,zoetstof: steviolglycosiden||True||01030678P|||||||||
04897111|correfour||||||||2026-03-24|Coke Soft drink 15 x 330 ml|Coca-Cola||15 x 330|ml||Home|Dranken|Softdrinks|Cola|Coke Soft drink 15 x 330 ml|||12.69|12.69|||||||||||2.56|||EUR|Home > Dranken > Softdrinks > Cola > Coke Soft drink 15 x 330 ml|https://www.carrefour.be/nl/coke-soft-drink-15-x-330-ml/04897111.html||Je enige echte CocaCola. Al sinds 1886 zo oneindig veel meer dan een frisdrank met natuurlijke plantenextracten. Het recept van Coca Cola is nooit veranderd en nooit geëvenaard. Zo blijft Coke wereldwijd de geliefde soft drink van jong en oud.||Ten minste houdbaar tot: zie bodem blikken.Koel, droog en geurvrij bewaren.|||België||||||{'Energie': {'Per: 100ml': '180kJ/', 'Per: 330ml (%*)': '594kJ/'}, 'Energie:2': {'Per: 100ml': '42kcal', 'Per: 330ml (%*)': '139kcal (7%)'}, 'Vetten': {'Per: 100ml': '0g', 'Per: 330ml (%*)': '0g (0%)'}, 'waarvan verzadigde vetzuren': {'Per: 100ml': '0g', 'Per: 330ml (%*)': '0g (0%)'}, 'Koolhydraten': {'Per: 100ml': '10.6g', 'Per: 330ml (%*)': '35g (13%)'}, 'waarvan suikers': {'Per: 100ml': '10.6g', 'Per: 330ml (%*)': '35g (39%)'}, 'Eiwitten': {'Per: 100ml': '0g', 'Per: 330ml (%*)': '0g (0%)'}, 'Zout': {'Per: 100ml': '0g', 'Per: 330ml (%*)': '0g (0%)'}}|||||||||||||||||||||||||||Omgevingstemperatuur|||||https://cdn.carrefour.eu/420_04897111_M1_20250115.webp||https://cdn.carrefour.eu/420_04897111_M19_20250115.webp||https://cdn.carrefour.eu/420_04897111_M2_20250115.webp||||||||||||||||||Coca-Cola European Partners Belgium BVBA - PB 400B-1070 Brussel.||||||||||Coke Soft drink 15 x 330 ml|rankelend water,suiker,kleurstof: E150d,voedingszuur: E338,natuurlijke aroma's (plantenextracten), waaronder cafeïne||True||04897111P|||||||||
06395569|correfour||||||||2026-03-24|Zero Coke Soft Drink 6 x 1000 ml|Coca-Cola||6 x 1000|ml||Home|Dranken|Softdrinks|Cola|Zero Coke Soft Drink 6 x 1000 ml|||10.69|10.69|||||||||||1.78|||EUR|Home > Dranken > Softdrinks > Cola > Zero Coke Soft Drink 6 x 1000 ml|https://www.carrefour.be/nl/zero-coke-soft-drink-6-x-1000-ml/06395569.html||CocaCola zero sugar heeft de heerlijke smaak van de enige echte Coke, maar dan zonder suiker. Deze verfrissende suikervrije Coca Cola serveer je best ijskoud.||Ten minste houdbaar tot: zie hals/doppen.Koel, droog, geurvrij en uit het zonlicht bewaren.|||België||||||{'Energie': {'Per: 100ml': '1.4kJ', 'Per 250ml': '4kJ (0%)'}, 'Energie:2': {'Per: 100ml': '0.3kcal', 'Per 250ml': '1kcal (0%)'}, 'Vetten': {'Per: 100ml': '0g', 'Per 250ml': '0g (0%)'}, 'waarvan verzadigde vetzuren': {'Per: 100ml': '0g', 'Per 250ml': '0g (0%)'}, 'Koolhydraten': {'Per: 100ml': '0g', 'Per 250ml': '0g (0%)'}, 'waarvan suikers': {'Per: 100ml': '0g', 'Per 250ml': '0g (0%)'}, 'Eiwitten': {'Per: 100ml': '0g', 'Per 250ml': '0g (0%)'}, 'Zout': {'Per: 100ml': '0.02g', 'Per 250ml': '0.05g (1%)'}}|||||||||||||||Zondersuiker||||||||||||Omgevingstemperatuur|||||https://cdn.carrefour.eu/420_06395569_T596.webp||https://cdn.carrefour.eu/420_06395569_T1.webp||||||||||||||||||||Coca-Cola European PartnersBelgium BV - PB 400B-1070 Brussel.078-156156coke.com||||||||||Zero Coke Soft Drink 6 x 1000 ml|rankelend water,kleurstof: E150d,voedingszuur: E338,zoetstoffen: aspartaam, acesulfaam-K,natuurlijke aroma's, waaronder cafeïne,zuurteregelaar: E331||True||06395569P|||||||||
01655192|correfour||||||||2026-03-24|Bul'z Soda Sinaasappelsmaak 6 x 1.5 L|Carrefour||6 x 1.5|L||Home|Dranken|Softdrinks|Limonades|Bul'z Soda Sinaasappelsmaak 6 x 1.5 L|||7.74|7.74|||||||||||0.86|||EUR|Home > Dranken > Softdrinks > Limonades > Bul'z Soda Sinaasappelsmaak 6 x 1.5 L|https://www.carrefour.be/nl/bulz-soda-sinaasappelsmaak-6-x-1.5-l/01655192.html||||Ongeopend, fris en droog bewaren op een zuivere en donkere plaats. Eens geopend, in de koelkast bewaren en binnen 3 dagen consumeren.||Koel schenken.|België||||||{'Energie': {'per: 100 ml': '197 kJ', 'per: 1 glas (250 ml)': '492 kJ', '%RI': '6%'}, 'Energie2': {'per: 100 ml': '46 kcal', 'per: 1 glas (250 ml)': '116 kcal', '%RI': '6%'}, 'Koolhydraten': {'per: 100 ml': '11 g', 'per: 1 glas (250 ml)': '29 g', '%RI': '11%'}, 'waarvan suikers': {'per: 100 ml': '11 g', 'per: 1 glas (250 ml)': '29 g', '%RI': '32%'}, 'Zout': {'per: 100 ml': '0.03 g', 'per: 1 glas (250 ml)': '0.08 g', '%RI': '1%'}, 'Verwaarloosbare hoeveelheden vetten, verzadigde vetzuren en eiwitten.': {'per: 100 ml': '-', 'per: 1 glas (250 ml)': '-', '%RI': '-'}, 'RI: Referentie-Innames van een gemiddelde volwassene (8400 kJ/2000 kcal), per dag.': {'per: 100 ml': '-', 'per: 1 glas (250 ml)': '-', '%RI': '-'}, 'Dit product bevat 6 glazen van 250 ml.': {'per: 100 ml': '-', 'per: 1 glas (250 ml)': '-', '%RI': '-'}}|||||||||||||||||||||||||||Omgevingstemperatuur|||||https://cdn.carrefour.eu/420_01655192_T1.webp||https://cdn.carrefour.eu/420_01655192_T19.webp||||||||||||||||||||Geproduceerd voor:Refresco BeneluxPostbus 2603NL 6026 ZG Maarheezevoor:CMI||||||||||Bul'z Soda Sinaasappelsmaak 6 x 1.5 L|Koolzuurhoudend water,suiker,sinaasappelsap op basis van concentraat (6%),voedingszuur: citroenzuur,zuurteregelaar: natriumcitraten,antioxidant: ascorbinezuur,conserveermiddel: kaliumsorbaat,aroma,stabilisator: johannesbroodpitmeel,kleurstof: caroteen||True||01655192P|||||||||
05595268|correfour||||||||2026-03-24|Limonade Smaak Grenadine 6 x 1.5 L|Carrefour||6 x 1.5|L||Home|Dranken|Softdrinks|Limonades|Limonade Smaak Grenadine 6 x 1.5 L|||8.34|8.34|||||||||||0.93|||EUR|Home > Dranken > Softdrinks > Limonades > Limonade Smaak Grenadine 6 x 1.5 L|https://www.carrefour.be/nl/limonade-smaak-grenadine-6-x-1.5-l/05595268.html||||Op een schone, droge, koele en donkere plaats bewaren. Eens geopend, in de koelkast bewaren en binnen 3 dagen consumeren.||Koel schenken.|België||||||{'Energie': {'per: 100 ml': '107 kJ', 'per: 1 glas (250 ml)': '268 kJ', '%RI': '3%'}, 'Energie2': {'per: 100 ml': '25 kcal', 'per: 1 glas (250 ml)': '63 kcal', '%RI': '3%'}, 'Koolhydraten': {'per: 100 ml': '6.3 g', 'per: 1 glas (250 ml)': '16 g', '%RI': '6%'}, 'waarvan suikers': {'per: 100 ml': '6.3 g', 'per: 1 glas (250 ml)': '16 g', '%RI': '18%'}, 'Zout': {'per: 100 ml': '0.02 g', 'per: 1 glas (250 ml)': '0.04 g', '%RI': '<1%'}, 'Verwaarloosbare hoeveelheden vetten, verzadigde vetzuren en eiwitten.': {'per: 100 ml': '-', 'per: 1 glas (250 ml)': '-', '%RI': '-'}, 'RI: Referentie-Innames van een gemiddelde volwassene (8400 kJ/2000 kcal), per dag.': {'per: 100 ml': '-', 'per: 1 glas (250 ml)': '-', '%RI': '-'}, 'Dit product bevat 6 glazen van 250 ml.': {'per: 100 ml': '-', 'per: 1 glas (250 ml)': '-', '%RI': '-'}}|||||||||||||||||||||||||||Omgevingstemperatuur|||||https://cdn.carrefour.eu/420_05595268_T1.webp||https://cdn.carrefour.eu/420_05595268_T19.webp||||||||||||||||||||Geproduceerd in België voor:Refresco BeneluxPostbus 26036026 ZG MaarhezeNLvoor:CMITSA 9143191343 Massy CEDEXFrance||||||||||Limonade Smaak Grenadine 6 x 1.5 L|Kooluurhoudend water,suiker,voedingszuur: citroenzuur,aroma,concentraat (zwarte bes, wortel),conserveemiddel: kaliumsorbaat,zoetstoffen: acesulfaam-K en sucralose||True||05595268P|||||||||
04016399|correfour||||||||2026-03-24|Sensation Smaak Agrum' 1.5 L|Carrefour||1.5|L||Home|Dranken|Softdrinks|Limonades|Sensation Smaak Agrum' 1.5 L|||1.29|1.29|||||||||||0.86|||EUR|Home > Dranken > Softdrinks > Limonades > Sensation Smaak Agrum' 1.5 L|https://www.carrefour.be/nl/sensation-smaak-agrum-1.5-l/04016399.html||||Voor opening, de fles op een schone, droge, frisse en donkere plaats bewaren. Eens geopend, de fles in de koelkast bewaren en binnen 3 dagen consumeren. Ten minste houdbaar tot: zie datum vermeld op de fles.||Koel schenken.|België||||||{'Energie': {'per: 100 ml': '147 kJ'}, 'Energie2': {'per: 100 ml': '35 kcal'}, 'Koolhydraten': {'per: 100 ml': '8.6 g'}, 'waarvan suikers': {'per: 100 ml': '8.6 g'}, 'Zout': {'per: 100 ml': '<0.01 g'}, 'Verwaarloosbare hoeveelheden vetten, verzadigde vetzuren en eiwitten.': {'per: 100 ml': '-'}}|||||||||||||||||||||||||||Omgevingstemperatuur|||||https://cdn.carrefour.eu/420_04016399_T1.webp||https://cdn.carrefour.eu/420_04016399_T19.webp||||||||||||||||||||InterdisTSA 9143191343 Massy CEDEXFrance||||||||||Sensation Smaak Agrum' 1.5 L|Koolzuurhoudend water,suiker,sinaasappelextract 0.5%,voedingszuur: citroenzuur,antioxidant: ascorbinezuur,natuurlijk citrusvruchtenaroma met andere natuurlijke aroma's,natuurlijk aroma,natuurlijk limoenaroma,stabilisatoren: gemodificeerd zetmeel en glycerolesters van houthars||True||04016399P|||||||||
06033381|correfour||||||||2026-03-24|Classic' Cola 1.5 L|Carrefour||1.5|L||Home|Dranken|Softdrinks|Cola|Classic' Cola 1.5 L|||0.99|0.99|||||||||||0.66|||EUR|Home > Dranken > Softdrinks > Cola > Classic' Cola 1.5 L|https://www.carrefour.be/nl/classic-cola-1.5-l/06033381.html||||Voor opening, de fles op een schone, frisse, droge en donkere plaats vrij van geurtjes bewaren. Ten minste houdbaar tot / Lotnr.: zie datum vermeld bovenaan de fles. Eens geopend, de fles in de koelkast bewaren en binnen 3 dagen consumeren.||Koel schenken.Wissel deze drank af met water.|Frankrijk||||||{'Energie': {'per: 100 ml': '145 kJ', 'per: 1 glas (200 ml) %RI': '289 kJ 3%'}, 'Energie 2': {'per: 100 ml': '34 kcal', 'per: 1 glas (200 ml) %RI': '68 kcal 3%'}, 'Koolhydraten': {'per: 100 ml': '8.5 g', 'per: 1 glas (200 ml) %RI': '17 g 7%'}, 'waarvan suikers': {'per: 100 ml': '8.4 g', 'per: 1 glas (200 ml) %RI': '17 g 19%'}, 'Zout': {'per: 100 ml': '<0.01 g', 'per: 1 glas (200 ml) %RI': '0.02 g <1%'}, 'Verwaarloosbare hoeveelheden vetten, verzadigde vetzuren en eiwitten.': {'per: 100 ml': '-', 'per: 1 glas (200 ml) %RI': '-'}, 'RI: Referentie-Innames van een gemiddelde volwassene (8400 kJ/2000 kcal), per dag.': {'per: 100 ml': '-', 'per: 1 glas (200 ml) %RI': '-'}, 'Dit product bevat ongeveer 7 porties van 200 ml.': {'per: 100 ml': '-', 'per: 1 glas (200 ml) %RI': '-'}}|||||||||||||||||||||||||||Omgevingstemperatuur|||||https://cdn.carrefour.eu/420_06033381_M1_20250926.webp||||||||||||||||||||||InterdisTSA 9143191343 Massy CEDEXFrance||||||||||Classic' Cola 1.5 L|Koolzuurhoudend water,suiker,kleurstof: sulfiet-ammoniakkaramel,voedingszuur: fosforzuur,natuurlijke aroma's (waarvan plantaardige extracten),cafeïne||True||06033381P|||||||||
06638216|correfour||||||||2026-03-24|Classic' Smaak Tropical 4 x 20 cl|Carrefour||4 x 20|cl||Home|Dranken|Softdrinks|Limonades|Classic' Smaak Tropical 4 x 20 cl|||1.96|1.96|||||||||||2.45|||EUR|Home > Dranken > Softdrinks > Limonades > Classic' Smaak Tropical 4 x 20 cl|https://www.carrefour.be/nl/classic-smaak-tropical-4-x-20-cl/06638216.html||||Voor opening, het pak op een schone, droge, frisse en donkere plaats bewaren. Ten minste houdbaar tot: zie bovenzijde fles.|||Frankrijk||||||{'Energie': {'per: 100 ml': '104 kJ'}, 'Energie2': {'per: 100 ml': '24 kcal'}, 'Koolhydraten': {'per: 100 ml': '6.1 g'}, 'waarvan suikers': {'per: 100 ml': '6.1 g'}, 'Verwaarloosbare hoeveelheden vetten, verzadigde vetzuren, eiwitten en zout.': {'per: 100 ml': '-'}}|||||||||||||||||||||||||||Omgevingstemperatuur|||||https://cdn.carrefour.eu/420_06638216_T1.webp||https://cdn.carrefour.eu/420_06638216_T19.webp||||||||||||||||||||InterdisTSA 9143191343 Massy CEDEXFrance||||||||||Classic' Smaak Tropical 4 x 20 cl|Water,vruchtensappen uit sapconcentraten 12% (ananas 4.8%, sinaasappel 4.8%, passievrucht 0.6%, appel 0.6%, abrikoos 0.3%, guave 0.3%, mandarijn 0.24%, mango 0.24%, banaan 0.09%, limoen 0.03%),suiker,voedingszuur: citroenzuur,zuurteregelaar: natriumcitraten,natuurlijke aroma's,antioxidant: ascorbinezuur||True||06638216P|||||||||
06053031|correfour||||||||2026-03-24|Sensation Fresh Tonic 1.5 L|Carrefour||1.5|L||Home|Dranken|Softdrinks|Tonics|Sensation Fresh Tonic 1.5 L|||1.25|1.25|||||||||||0.83|||EUR|Home > Dranken > Softdrinks > Tonics > Sensation Fresh Tonic 1.5 L|https://www.carrefour.be/nl/sensation-fresh-tonic-1.5-l/06053031.html||||Voor opening, de fles op een schone, droge, frisse en donkere plaats bewaren. Eens geopend, de fles in de koelkast bewaren en binnen 3 dagen consumeren. Ten minste houdbaar tot: zie datum bovenaan fles.||Koel schenken.Wissel deze drank af met water.|Frankrijk||||||{'Energie': {'per: 100 ml': '90 kJ'}, 'Energie2': {'per: 100 ml': '21 kcal'}, 'Koolhydraten': {'per: 100 ml': '5.0 g'}, 'waarvan suikers': {'per: 100 ml': '5.0 g'}, 'Zout': {'per: 100 ml': '<0.01 g'}, 'Verwaarloosbare hoeveelheden vetten, verzadigde vetzuren en eiwitten.': {'per: 100 ml': '-'}}|||||||||||||||||||||||||||Omgevingstemperatuur|||||https://cdn.carrefour.eu/420_06053031_T1.webp||https://cdn.carrefour.eu/420_06053031_T19.webp||||||||||||||||||||InterdisTSA 9143191343 Massy CEDEXFrance||||||||||Sensation Fresh Tonic 1.5 L|Koolzuurhoudend water,suiker,voedingszuur: citroenzuur,natuurlijk aroma,aroma: kinine,zoetstoffen: acesulfaam-K en sucralose||True||06053031P|||||||||
