unique_id|competitor_name|store_name|store_addressline1|store_addressline2|store_suburb|store_state|store_postcode|store_addressid|extraction_date|product_name|brand|brand_type|grammage_quantity|grammage_unit|drained_weight|producthierarchy_level1|producthierarchy_level2|producthierarchy_level3|producthierarchy_level4|producthierarchy_level5|producthierarchy_level6|producthierarchy_level7|regular_price|selling_price|price_was|promotion_price|promotion_valid_from|promotion_valid_upto|promotion_type|percentage_discount|promotion_description|package_sizeof_sellingprice|per_unit_sizedescription|price_valid_from|price_per_unit|multi_buy_item_count|multi_buy_items_price_total|currency|breadcrumb|pdp_url|variants|product_description|instructions|storage_instructions|preparationinstructions|instructionforuse|country_of_origin|allergens|age_of_the_product|age_recommendations|flavour|nutritions|nutritional_information|vitamins|labelling|grade|region|packaging|receipies|processed_food|barcode|frozen|chilled|organictype|cooking_part|handmade|max_heating_temperature|special_information|label_information|dimensions|special_nutrition_purpose|feeding_recommendation|warranty|color|model_number|material|usp|dosage_recommendation|tasting_note|food_preservation|size|rating|review|file_name_1|image_url_1|file_name_2|image_url_2|file_name_3|image_url_3|file_name_4|image_url_4|file_name_5|image_url_5|file_name_6|image_url_6|competitor_product_key|fit_guide|occasion|material_composition|style|care_instructions|heel_type|heel_height|upc|features|dietary_lifestyle|manufacturer_address|importer_address|distributor_address|vinification_details|recycling_information|return_address|alchol_by_volume|beer_deg|netcontent|netweight|site_shown_uom|ingredients|random_weight_flag|instock|promo_limit|product_unique_key|multibuy_items_pricesingle|perfect_match|servings_per_pack|warning|suitable_for|standard_drinks|environmental|grape_variety|retail_limit
20393250|johnlewis||||||||2026-03-27|Ted Baker Blaaza Knit Back Dress, Burgundy, 8|Ted Baker|||||Homepage|Women|Women's Dresses|Shop all Ted Baker||||159.00|159.00||||||||||||||GBP|Homepage > Women > Women's Dresses > Shop all Ted Baker|https://www.johnlewis.com/ted-baker-blaaza-knit-back-dress-burgundy/p114507039?size=8||Because a straight silhouette is always flattering. This sleeveless maxi dress from Ted Baker features a simple, crew neck and a plain colour designed to go with anything.|||||China|||||||||||||||||||||||||||Burgundy|||||||8||||https://media.johnlewiscontent.com/i/JohnLewis/010678637||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt1||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt2||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt3||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt4||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt5||Regular||Main: 100% polyester; Back: 77% viscose, 21% nylon, 2% elastane||Dry Clean,Can be hand washed|||||||||||||||||||False||20393250P|||||||||
20393251|johnlewis||||||||2026-03-27|Ted Baker Blaaza Knit Back Dress, Burgundy, 10|Ted Baker|||||Homepage|Women|Women's Dresses|Shop all Ted Baker||||159.00|159.00||||||||||||||GBP|Homepage > Women > Women's Dresses > Shop all Ted Baker|https://www.johnlewis.com/ted-baker-blaaza-knit-back-dress-burgundy/p114507039?size=10||Because a straight silhouette is always flattering. This sleeveless maxi dress from Ted Baker features a simple, crew neck and a plain colour designed to go with anything.|||||China|||||||||||||||||||||||||||Burgundy|||||||10||||https://media.johnlewiscontent.com/i/JohnLewis/010678637||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt1||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt2||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt3||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt4||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt5||Regular||Main: 100% polyester; Back: 77% viscose, 21% nylon, 2% elastane||Dry Clean,Can be hand washed|||||||||||||||||||True||20393251P|||||||||
20393252|johnlewis||||||||2026-03-27|Ted Baker Blaaza Knit Back Dress, Burgundy, 12|Ted Baker|||||Homepage|Women|Women's Dresses|Shop all Ted Baker||||159.00|159.00||||||||||||||GBP|Homepage > Women > Women's Dresses > Shop all Ted Baker|https://www.johnlewis.com/ted-baker-blaaza-knit-back-dress-burgundy/p114507039?size=12||Because a straight silhouette is always flattering. This sleeveless maxi dress from Ted Baker features a simple, crew neck and a plain colour designed to go with anything.|||||China|||||||||||||||||||||||||||Burgundy|||||||12||||https://media.johnlewiscontent.com/i/JohnLewis/010678637||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt1||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt2||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt3||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt4||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt5||Regular||Main: 100% polyester; Back: 77% viscose, 21% nylon, 2% elastane||Dry Clean,Can be hand washed|||||||||||||||||||True||20393252P|||||||||
20393253|johnlewis||||||||2026-03-27|Ted Baker Blaaza Knit Back Dress, Burgundy, 14|Ted Baker|||||Homepage|Women|Women's Dresses|Shop all Ted Baker||||159.00|159.00||||||||||||||GBP|Homepage > Women > Women's Dresses > Shop all Ted Baker|https://www.johnlewis.com/ted-baker-blaaza-knit-back-dress-burgundy/p114507039?size=14||Because a straight silhouette is always flattering. This sleeveless maxi dress from Ted Baker features a simple, crew neck and a plain colour designed to go with anything.|||||China|||||||||||||||||||||||||||Burgundy|||||||14||||https://media.johnlewiscontent.com/i/JohnLewis/010678637||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt1||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt2||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt3||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt4||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt5||Regular||Main: 100% polyester; Back: 77% viscose, 21% nylon, 2% elastane||Dry Clean,Can be hand washed|||||||||||||||||||True||20393253P|||||||||
20393254|johnlewis||||||||2026-03-27|Ted Baker Blaaza Knit Back Dress, Burgundy, 16|Ted Baker|||||Homepage|Women|Women's Dresses|Shop all Ted Baker||||159.00|159.00||||||||||||||GBP|Homepage > Women > Women's Dresses > Shop all Ted Baker|https://www.johnlewis.com/ted-baker-blaaza-knit-back-dress-burgundy/p114507039?size=16||Because a straight silhouette is always flattering. This sleeveless maxi dress from Ted Baker features a simple, crew neck and a plain colour designed to go with anything.|||||China|||||||||||||||||||||||||||Burgundy|||||||16||||https://media.johnlewiscontent.com/i/JohnLewis/010678637||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt1||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt2||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt3||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt4||https://media.johnlewiscontent.com/i/JohnLewis/010678637alt5||Regular||Main: 100% polyester; Back: 77% viscose, 21% nylon, 2% elastane||Dry Clean,Can be hand washed|||||||||||||||||||True||20393254P|||||||||
20393270|johnlewis||||||||2026-03-27|Ted Baker Lowela Halterneck Floral Midi Dress, Pink/Multi, 8|Ted Baker|||||Homepage|Women|Women's Dresses|Shop all Ted Baker||||229.00|229.00||||||||||||||GBP|Homepage > Women > Women's Dresses > Shop all Ted Baker|https://www.johnlewis.com/ted-baker-lowela-halterneck-floral-midi-dress-pink-multi/p114507043?size=8||When in doubt, opt for a straight cut silhouette. This sleeveless midi dress from Ted Baker features a feminine, halter necklineand beautiful floral print.|||||China|||||||||||||||||||||||||||Pink/Multi|||||||8||||https://media.johnlewiscontent.com/i/JohnLewis/010678661||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt1||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt2||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt3||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt4||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt5||Regular||100% polyester||Machine Washable at 30°C|||||||||||||||||||True||20393270P|||||||||
20393271|johnlewis||||||||2026-03-27|Ted Baker Lowela Halterneck Floral Midi Dress, Pink/Multi, 10|Ted Baker|||||Homepage|Women|Women's Dresses|Shop all Ted Baker||||229.00|229.00||||||||||||||GBP|Homepage > Women > Women's Dresses > Shop all Ted Baker|https://www.johnlewis.com/ted-baker-lowela-halterneck-floral-midi-dress-pink-multi/p114507043?size=10||When in doubt, opt for a straight cut silhouette. This sleeveless midi dress from Ted Baker features a feminine, halter necklineand beautiful floral print.|||||China|||||||||||||||||||||||||||Pink/Multi|||||||10||||https://media.johnlewiscontent.com/i/JohnLewis/010678661||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt1||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt2||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt3||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt4||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt5||Regular||100% polyester||Machine Washable at 30°C|||||||||||||||||||True||20393271P|||||||||
20393272|johnlewis||||||||2026-03-27|Ted Baker Lowela Halterneck Floral Midi Dress, Pink/Multi, 12|Ted Baker|||||Homepage|Women|Women's Dresses|Shop all Ted Baker||||229.00|229.00||||||||||||||GBP|Homepage > Women > Women's Dresses > Shop all Ted Baker|https://www.johnlewis.com/ted-baker-lowela-halterneck-floral-midi-dress-pink-multi/p114507043?size=12||When in doubt, opt for a straight cut silhouette. This sleeveless midi dress from Ted Baker features a feminine, halter necklineand beautiful floral print.|||||China|||||||||||||||||||||||||||Pink/Multi|||||||12||||https://media.johnlewiscontent.com/i/JohnLewis/010678661||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt1||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt2||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt3||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt4||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt5||Regular||100% polyester||Machine Washable at 30°C|||||||||||||||||||True||20393272P|||||||||
20393273|johnlewis||||||||2026-03-27|Ted Baker Lowela Halterneck Floral Midi Dress, Pink/Multi, 14|Ted Baker|||||Homepage|Women|Women's Dresses|Shop all Ted Baker||||229.00|229.00||||||||||||||GBP|Homepage > Women > Women's Dresses > Shop all Ted Baker|https://www.johnlewis.com/ted-baker-lowela-halterneck-floral-midi-dress-pink-multi/p114507043?size=14||When in doubt, opt for a straight cut silhouette. This sleeveless midi dress from Ted Baker features a feminine, halter necklineand beautiful floral print.|||||China|||||||||||||||||||||||||||Pink/Multi|||||||14||||https://media.johnlewiscontent.com/i/JohnLewis/010678661||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt1||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt2||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt3||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt4||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt5||Regular||100% polyester||Machine Washable at 30°C|||||||||||||||||||True||20393273P|||||||||
20393274|johnlewis||||||||2026-03-27|Ted Baker Lowela Halterneck Floral Midi Dress, Pink/Multi, 16|Ted Baker|||||Homepage|Women|Women's Dresses|Shop all Ted Baker||||229.00|229.00||||||||||||||GBP|Homepage > Women > Women's Dresses > Shop all Ted Baker|https://www.johnlewis.com/ted-baker-lowela-halterneck-floral-midi-dress-pink-multi/p114507043?size=16||When in doubt, opt for a straight cut silhouette. This sleeveless midi dress from Ted Baker features a feminine, halter necklineand beautiful floral print.|||||China|||||||||||||||||||||||||||Pink/Multi|||||||16||||https://media.johnlewiscontent.com/i/JohnLewis/010678661||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt1||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt2||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt3||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt4||https://media.johnlewiscontent.com/i/JohnLewis/010678661alt5||Regular||100% polyester||Machine Washable at 30°C|||||||||||||||||||True||20393274P|||||||||
